data_weight,calibration_seed,alpha,beta,alpha_abs_log_error,beta_abs_log_error,joint_abs_log_error,training_objective
0.03,901,2.3676636775155084e-09,0.001390888707513872,12.953606879105678,4.275227285224043,17.22883416432972,0.013464074654202931
0.03,902,2.1418208139778635e-08,0.0020519186784049397,10.751269150048936,3.886394889871823,14.63766403992076,0.01631308126445887
0.03,903,7.522005416241924e-09,0.004594328161641068,11.797677777862956,3.080347651612152,14.878025429475109,0.018215739394792124
0.1,901,0.0008229481788479223,0.02339026601973083,0.1948620464504327,1.4528502322317605,1.6477122786821932,0.01629410059616245
0.1,902,2.2556573186581046e-06,0.00011253859480106556,6.094313854641889,6.7896292372607,12.883943091902589,0.020560201104641213
0.1,903,0.0009733695981636434,0.04928866820997082,0.026991414694690997,0.7074759851129969,0.7344673998076879,0.018638263523616222
0.3,901,0.0008398100923733718,0.024121189350146167,0.174579493212719,1.422079505637238,1.5966589988499569,0.017332271428978696
0.3,902,0.0009903543110209982,0.03286056134533659,0.009692509960622762,1.1128969905870665,1.1225895005476891,0.016929923116305763
0.3,903,0.0007943773009748883,0.017945760390298722,0.23019674045738836,1.717816288906547,1.9480130293639353,0.01294305835962054
1.0,901,0.0010026303036025478,0.040571444410968036,0.0026268504080017353,0.9021057064710909,0.9047325568790926,0.029722405349678904
1.0,902,0.0007854251959050336,0.012486120130495664,0.24153005700515484,2.080552548179408,2.322082605184563,0.02670372000249726
1.0,903,0.000632130450061599,0.004686002678771274,0.45865949780923215,3.0605902742485163,3.5192497720577482,0.0232339825111979
3.0,901,0.0008067967898905388,0.029600401065240593,0.21468345172687897,1.217382275248499,1.432065726975378,0.04419861000855607
3.0,902,0.0006825171597320137,0.0002945061631128621,0.3819676097745997,5.827625534719422,6.209593144494022,0.04358443369805719
3.0,903,0.0006345330793344784,0.004734138173867572,0.4548658586957464,3.050370487771007,3.5052363464667535,0.051287896579486625
10.0,901,0.0008924713240262175,0.008815783470115718,0.1137608957871341,2.4286264948914416,2.5423873906785754,0.1108402823888453
10.0,902,0.0007592481188654213,0.008362970695040436,0.2754266526814472,2.481356475715321,2.756783128396768,0.09879369608409605
10.0,903,0.000742515217878327,0.01320719313998595,0.297711913056285,2.0244085699714214,2.3221204830277062,0.1158162582309471
