candidate,calibration_seed,selected_start_id,selected_initial_alpha,selected_initial_beta,alpha,beta,alpha_abs_log_error,beta_abs_log_error,joint_abs_log_error,network_train_rmse_log,network_test_rmse_log,exact_ode_train_rmse_log,network_to_fitted_ode_rmse_log,training_objective,pre_RN_rmse_h-1,pre_RP_rmse_h-1,treatment_RN_rmse_h-1,treatment_RP_rmse_h-1,post_RN_rmse_h-1,post_RP_rmse_h-1,pre_network_clean_rmse_log,pre_fitted_ode_clean_rmse_log,treatment_network_clean_rmse_log,treatment_fitted_ode_clean_rmse_log,post_network_clean_rmse_log,post_fitted_ode_clean_rmse_log
baseline,911,1,0.01,0.3,0.0009725976943565172,0.02778602743800263,0.02778475161312577,1.2806369017861075,1.3084216533992332,0.10459119643561722,0.1488157914478736,0.11120589990548799,0.05635090376835883,0.021140635722791006,0.2798376278720196,0.039636612083177133,0.21842162464797174,0.04577479649644043,0.06832952556759633,0.023699886722371825,0.06533503322001234,2.2853984731788705e-05,0.04934508093546353,0.06778855760768882,0.06228531386483058,0.10971674195397992
baseline,912,1,0.01,0.3,0.0008849415994997393,0.024045887593409112,0.12223362541742626,1.4252061980945117,1.547439823511938,0.10604837966355624,0.11702874093575705,0.13346650027574114,0.06965794125636435,0.015290346452099493,0.2639134361164698,0.0324580720249371,0.21625206677182826,0.04846311307762135,0.06138856906307667,0.018632240899448333,0.03696937113917603,2.2931643763428278e-05,0.04021285321682755,0.048912639427886886,0.04227161414326195,0.11177522945079121
baseline,913,1,0.01,0.3,0.0009152088189841643,0.017589085661243578,0.0886030222752289,1.7378916091898005,1.8264946314650294,0.10930538418371846,0.08245040008231108,0.12358444858517242,0.06528224771337995,0.017031112102476126,0.2605776947194681,0.044079284332899364,0.20780526052862872,0.0340677814862603,0.060343843493122544,0.025829591119996696,0.027837695576570974,3.0693272614323655e-06,0.05752629080472135,0.06404101700403696,0.06259952274880537,0.1275135201659635
baseline,914,1,0.01,0.3,0.001007126763910634,0.03552692841906777,0.007101488545372519,1.0348792300421104,1.041980718587483,0.11736330835256233,0.11499420673305967,0.1314502174512848,0.05630530146146644,0.02106142754384881,0.2776275088149774,0.03760942858356881,0.21783291975820412,0.03657074277468548,0.05540234608860356,0.031421624300270116,0.03803739609949142,3.747863098252698e-05,0.06774650946388831,0.06795633938378162,0.062008436045628675,0.0979336446259603
baseline,915,1,0.01,0.3,0.00125967918104356,0.18074590823443465,0.23085707032326752,0.591922037087407,0.8227791074106745,0.12095013399550611,0.1168261105360058,0.12134725807973373,0.04504267936972086,0.026282271761194964,0.28657422749914496,0.02232420824971966,0.22917451834102565,0.052034022753854506,0.0511241485700988,0.01580440403437336,0.05549906695620513,9.329008308082061e-05,0.05585759207340863,0.023797025940030497,0.0383554132881907,0.07013798730419915
boundary_aware,911,1,0.01,0.3,0.0008213751161350763,0.015691686318651712,0.19677537237306195,1.8520391477302294,2.0488145201032912,0.08949995313142357,0.13419998485205578,0.11018365459883912,0.04765553157666256,0.0499480533928151,0.13663028576953068,0.022856295899715755,0.18708883679368418,0.03499115077350885,0.11366598470289618,0.013081457535627016,0.011136192689369308,5.338291664714248e-05,0.030535311377426516,0.040463549600821914,0.05937151613123745,0.12892972488519783
boundary_aware,912,1,0.01,0.3,0.0008012890348819692,0.029842653250777812,0.22153355445251835,1.209231498694532,1.4307650531470504,0.1008227852151525,0.1135165522886749,0.12634835538262434,0.060183019254111285,0.052101847251997006,0.13885752571975246,0.0258299562801497,0.19700546261215277,0.03165745012372763,0.12303487100962078,0.015703950650705865,0.013675542094222344,7.139648117032564e-05,0.017447713969477675,0.020458083157885328,0.022168061532109273,0.10311142059325448
boundary_aware,913,1,0.01,0.3,0.0009434094266326929,0.05040843725094189,0.05825491599121165,0.6850116191488947,0.7432665351401064,0.09738813596174029,0.07712635468077134,0.10346098324023549,0.021067250019540424,0.05005129628560319,0.13646580558497268,0.017542155597944142,0.18752014638983408,0.02145525159409305,0.11611854652167124,0.013706058624541054,0.008802658603311088,4.8224983368684424e-06,0.028046570265846976,0.03613961067749498,0.0436285146107108,0.06468301786243083
boundary_aware,914,1,0.01,0.3,0.0009474119667426432,0.06891063230696542,0.054021257431616954,0.37235970482352465,0.4263809622551416,0.10682554506035338,0.09335239786541645,0.11275173153013547,0.022132310345547548,0.050600932799011344,0.137187336039568,0.004776157163888094,0.18454965278219623,0.026286293902091112,0.11749265126642217,0.008796013290472996,0.026289226944855967,1.2160064805192004e-05,0.02145553997511297,0.01824570642133036,0.01634421632743982,0.03696228484140275
boundary_aware,915,1,0.01,0.3,0.0010010761350633937,0.10638100797592842,0.0010755564451333849,0.06185687852022421,0.0629324349653576,0.11331309820370881,0.10895849620722708,0.1162297946681105,0.012134365956788714,0.05042510413446058,0.1344920818499979,0.008305884595021622,0.18119719904803147,0.01556369919356585,0.11743300646080573,0.013466317698983613,0.013293266853465895,2.6659350214525808e-06,0.015936935654325905,0.005812512305382494,0.01668509717260693,0.007269573590434303
