candidate,calibration_seed,start_id,initial_alpha,initial_beta,training_objective,fitted_alpha,fitted_beta,selected
baseline,911,1,0.01,0.3,0.021140635722791006,0.0009725976943565172,0.02778602743800263,True
baseline,912,1,0.01,0.3,0.015290346452099493,0.0008849415994997393,0.024045887593409112,True
baseline,913,1,0.01,0.3,0.017031112102476126,0.0009152088189841643,0.017589085661243578,True
baseline,914,1,0.01,0.3,0.02106142754384881,0.001007126763910634,0.03552692841906777,True
baseline,915,1,0.01,0.3,0.026282271761194964,0.00125967918104356,0.18074590823443465,True
boundary_aware,911,1,0.01,0.3,0.0499480533928151,0.0008213751161350763,0.015691686318651712,True
boundary_aware,912,1,0.01,0.3,0.052101847251997006,0.0008012890348819692,0.029842653250777812,True
boundary_aware,913,1,0.01,0.3,0.05005129628560319,0.0009434094266326929,0.05040843725094189,True
boundary_aware,914,1,0.01,0.3,0.050600932799011344,0.0009474119667426432,0.06891063230696542,True
boundary_aware,915,1,0.01,0.3,0.05042510413446058,0.0010010761350633937,0.10638100797592842,True
piecewise,911,1,0.01,0.3,0.0021832865189910585,0.0008302165606612536,0.06489299514788968,True
piecewise,912,1,0.01,0.3,0.002980255620511614,0.0009973771828746447,0.10257625710227299,True
piecewise,913,1,0.01,0.3,0.0028293765174888176,0.000964125992013414,0.08177762801365529,True
piecewise,914,1,0.01,0.3,0.0035365097850440833,0.000937281999718311,0.08703250260284578,True
piecewise,915,1,0.01,0.3,0.003986375223272942,0.0009767334585066346,0.12335106026746549,True
piecewise_multistart,911,1,0.0001,0.01,0.002425553167534808,0.0005846572601150764,0.0032702033021329026,False
piecewise_multistart,911,2,0.003,0.1,0.0021797853215817526,0.0008338051678488651,0.06472922441187323,True
piecewise_multistart,911,3,0.03,1.0,0.0022583658461867648,0.0008437838056724498,0.06221789569579269,False
piecewise_multistart,912,1,0.0001,0.01,0.003324847013101214,0.0006573304199507033,0.036315981815825835,False
piecewise_multistart,912,2,0.003,0.1,0.0029052670110844836,0.0010156826553900863,0.1076205968820475,True
piecewise_multistart,912,3,0.03,1.0,0.003240206841018491,0.0011857573710659303,0.12078488425554922,False
piecewise_multistart,913,1,0.0001,0.01,0.002994296613160794,0.0008092865530713865,0.05209234791584058,False
piecewise_multistart,913,2,0.003,0.1,0.0028322728676915517,0.0009731112617691825,0.08187689516958489,True
piecewise_multistart,913,3,0.03,1.0,0.002972799387670387,0.0008819612011643562,0.0645141114327258,False
piecewise_multistart,914,1,0.0001,0.01,0.0039177768504793705,0.0005829891849394035,0.003285157756312522,False
piecewise_multistart,914,2,0.003,0.1,0.00350274156787412,0.000993010256748221,0.0948169280957788,True
piecewise_multistart,914,3,0.03,1.0,0.0038908657270296373,0.001078819691594685,0.08993090562367403,False
piecewise_multistart,915,1,0.0001,0.01,0.0043206493001248635,0.0004883767932015508,0.004479318520954954,False
piecewise_multistart,915,2,0.003,0.1,0.003942356392943129,0.0008945277117151651,0.10837121579448362,True
piecewise_multistart,915,3,0.03,1.0,0.0042108548568465295,0.0008415839287674018,0.08580121854688087,False
piecewise_multistart_strong_physics,911,1,0.0001,0.01,0.0009221574552534911,0.000595336211904922,0.003494851741332435,False
piecewise_multistart_strong_physics,911,2,0.003,0.1,0.0007415768503773819,0.0008511012326067397,0.06686467003381688,True
piecewise_multistart_strong_physics,911,3,0.03,1.0,0.0023879969749127134,0.0027128025175698653,0.4425624415676395,False
piecewise_multistart_strong_physics,912,1,0.0001,0.01,0.0013812464187602203,0.000565512095010928,0.0029135180997194353,False
piecewise_multistart_strong_physics,912,2,0.003,0.1,0.0009876932052812072,0.0009944247457717547,0.104173460018742,True
piecewise_multistart_strong_physics,912,3,0.03,1.0,0.0014113405498391853,0.0010646151127239078,0.09653615151224694,False
piecewise_multistart_strong_physics,913,1,0.0001,0.01,0.001216566150769309,0.0006407019301775698,0.004328056104632293,False
piecewise_multistart_strong_physics,913,2,0.003,0.1,0.0009960994806006982,0.0009442179517820293,0.07354785223860906,True
piecewise_multistart_strong_physics,913,3,0.03,1.0,0.0014221254688693004,0.0009876168904544233,0.08467063784073155,False
piecewise_multistart_strong_physics,914,1,0.0001,0.01,0.0015352254938015488,0.000600427014841086,0.004028936453896992,False
piecewise_multistart_strong_physics,914,2,0.003,0.1,0.0012076397425491569,0.0009778658662508463,0.09326065697386272,True
piecewise_multistart_strong_physics,914,3,0.03,1.0,0.0014038835461471443,0.001019552332481267,0.07870282544337202,False
piecewise_multistart_strong_physics,915,1,0.0001,0.01,0.0016550661720209508,0.0005126017231946549,0.004709037086492751,False
piecewise_multistart_strong_physics,915,2,0.003,0.1,0.0013372585479587164,0.0009516754112893421,0.11678310454993868,True
piecewise_multistart_strong_physics,915,3,0.03,1.0,0.0018910326490978223,0.001012558732823853,0.101782800913751,False
