,,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_latent_log,test_rmse_latent_log,test_rmse_latent_log,test_rmse_latent_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log
,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
tier,method,,,,,,,,,,,,,,,,,,,,
high,NLLS,9.63712620272159,10.44752873860924,7.282772580808776,20,24.016958848882247,28.741277288071956,22.53828976559306,20,0.20973245582750294,0.21338696668908078,0.033444571226033434,20,0.025915224890798047,0.030738074312281483,0.01729982765608918,20,0.0,0.0,0.0,20
high,NN,,,,0,,,,0,0.21597183441629186,0.22340735533422063,0.03505842040452732,20,0.0637827515111497,0.06534887054612651,0.02385450059106898,20,,,,0
high,PINN,10.188459393691009,13.46321270453248,9.985879323779862,20,27.24122796116476,35.63765266641893,22.776125973331197,20,0.20671676915821002,0.2146562311743006,0.033346097824696344,20,0.032252057526431246,0.03578899073943866,0.017772666150089732,20,0.02197079479339275,0.026548693428569293,0.019702874821952657,20
low,NLLS,1.8582293232653146,1.8823233963887127,1.4766791019105567,20,4.15426105323724,5.257367153568527,4.49648777096213,20,0.04937127098528245,0.048748975000237865,0.008415429810834534,20,0.005507168416288,0.0060581724246024805,0.0033816273758990358,20,0.0,0.0,0.0,20
low,NN,,,,0,,,,0,0.05176741715967325,0.05220487879431394,0.008346778569040345,20,0.017395705260234748,0.0182255917322988,0.005879177731043449,20,,,,0
low,PINN,4.944304471147409,6.010426721142922,3.571703801439859,20,9.23301005830745,9.50185559166208,5.1029349644111655,20,0.0489243676720873,0.049148878951778975,0.008488184538595208,20,0.0072596596434677,0.008216779981082601,0.0033719197050911544,20,0.0115805476641561,0.012322133664728676,0.005710449379820522,20
moderate,NLLS,2.5505553243919623,3.62193767756984,3.064552506846041,20,6.015841090559293,8.104434413940677,6.821449770106117,20,0.10660173006411319,0.10911695128801606,0.015233037839624177,20,0.012824693181048251,0.012763996688897074,0.006697211791389743,20,0.0,0.0,0.0,20
moderate,NN,,,,0,,,,0,0.11654536676240865,0.11541173378454983,0.014665906599382253,20,0.03312479710292275,0.03516394768987775,0.007977169410960078,20,,,,0
moderate,PINN,6.847767476523936,8.596323767366485,7.007602516330226,20,16.199001036136373,14.90334185538334,10.084993618764027,20,0.10729927230863885,0.1099038584079611,0.01472637459433345,20,0.015160862019178701,0.016443852146567583,0.006430027315179569,20,0.0133262603187079,0.01627356955263903,0.009014487256761941,20
