tier,noise_fraction,trial,seed,frozen_rule_sha256,n_train_observations,n_test_observations,train_times_h,test_times_h,method,alpha,beta,alpha_relative_error_pct,beta_relative_error_pct,test_rmse_observed_log,test_rmse_latent_log,training_objective,selected_start_id,initial_condition_max_abs_error,network_to_fitted_ode_rmse_log,pre_RN_rmse_h-1,pre_RP_rmse_h-1,treatment_RN_rmse_h-1,treatment_RP_rmse_h-1,post_RN_rmse_h-1,post_RP_rmse_h-1
high,0.2,1,2001,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.5757576;1.6969697;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.3636364;4.4848485;4.6060606;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.4848485;8.7272727;8.8484848;9.2121212;9.3333333;9.4545455;9.5757576;9.8181818;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.515152;11.636364;11.757576;11.878788;12,1.4545455;2.1818182;2.9090909;3.8787879;4.2424242;4.7272727;4.8484848;5.5757576;5.6969697;5.8181818;7.6363636;7.7575758;8.3636364;8.6060606;8.969697;9.0909091;9.6969697;9.9393939;11.272727;11.393939,NLLS,0.0011554767157078,0.125672065131273,15.54767157078465,25.672065131273047,0.2034838206456471,0.029428046962969,3.719470662756758,,0.0,0.0,,,,,,
high,0.2,1,2001,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.5757576;1.6969697;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.3636364;4.4848485;4.6060606;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.4848485;8.7272727;8.8484848;9.2121212;9.3333333;9.4545455;9.5757576;9.8181818;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.515152;11.636364;11.757576;11.878788;12,1.4545455;2.1818182;2.9090909;3.8787879;4.2424242;4.7272727;4.8484848;5.5757576;5.6969697;5.8181818;7.6363636;7.7575758;8.3636364;8.6060606;8.969697;9.0909091;9.6969697;9.9393939;11.272727;11.393939,NN,,,,,0.2020538207598329,0.0632522786871133,0.0401636426694494,,0.0,,,,,,,
high,0.2,1,2001,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.5757576;1.6969697;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.3636364;4.4848485;4.6060606;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.4848485;8.7272727;8.8484848;9.2121212;9.3333333;9.4545455;9.5757576;9.8181818;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.515152;11.636364;11.757576;11.878788;12,1.4545455;2.1818182;2.9090909;3.8787879;4.2424242;4.7272727;4.8484848;5.5757576;5.6969697;5.8181818;7.6363636;7.7575758;8.3636364;8.6060606;8.969697;9.0909091;9.6969697;9.9393939;11.272727;11.393939,PINN,0.0010382771885318,0.1008051178517605,3.827718853188689,0.8051178517604951,0.2010370810031008,0.0287783207404644,0.0136596931138746,2.0,0.0,0.0245779721438954,0.0138928994305392,0.0012610828759481,0.0182850448290857,0.0044736214747006,0.0164251069639283,0.0032820051406173
high,0.2,2,2002,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.8181818;1.9393939;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.9090909;3.030303;3.3939394;3.5151515;3.7575758;4;4.1212121;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8;8.2424242;8.3636364;8.4848485;8.6060606;8.8484848;8.969697;9.0909091;9.2121212;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.393939;11.757576;12,0.60606061;1.2121212;2.0606061;2.7878788;3.1515152;3.2727273;3.6363636;3.8787879;4.2424242;4.3636364;7.030303;7.1515152;8.1212121;8.7272727;9.3333333;10.30303;11.272727;11.515152;11.636364;11.878788,NLLS,0.0011017232105978,0.1128805563993779,10.17232105978596,12.880556399377973,0.220201579614023,0.0204714136720614,2.587022108449222,,0.0,0.0,,,,,,
high,0.2,2,2002,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.8181818;1.9393939;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.9090909;3.030303;3.3939394;3.5151515;3.7575758;4;4.1212121;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8;8.2424242;8.3636364;8.4848485;8.6060606;8.8484848;8.969697;9.0909091;9.2121212;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.393939;11.757576;12,0.60606061;1.2121212;2.0606061;2.7878788;3.1515152;3.2727273;3.6363636;3.8787879;4.2424242;4.3636364;7.030303;7.1515152;8.1212121;8.7272727;9.3333333;10.30303;11.272727;11.515152;11.636364;11.878788,NN,,,,,0.2168005511120198,0.0401954874583395,0.031835509441568,,0.0,,,,,,,
high,0.2,2,2002,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.8181818;1.9393939;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.9090909;3.030303;3.3939394;3.5151515;3.7575758;4;4.1212121;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8;8.2424242;8.3636364;8.4848485;8.6060606;8.8484848;8.969697;9.0909091;9.2121212;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.393939;11.757576;12,0.60606061;1.2121212;2.0606061;2.7878788;3.1515152;3.2727273;3.6363636;3.8787879;4.2424242;4.3636364;7.030303;7.1515152;8.1212121;8.7272727;9.3333333;10.30303;11.272727;11.515152;11.636364;11.878788,PINN,0.0009677336428066,0.091271114650693,3.2266357193339035,8.728885349307003,0.2177376388248179,0.0204758560795314,0.009705042996941,2.0,0.0,0.025084682923662,0.0045636446971676,0.000806240674488,0.011326534251964,0.0030763800742134,0.0092254637095148,0.0009767799101914
high,0.2,3,2003,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.36363636;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;2.0606061;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.3939394;3.5151515;3.7575758;3.8787879;4.2424242;4.3636364;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.3333333;5.4545455;5.6969697;5.8181818;5.9393939;6.0606061;6.3030303;6.4242424;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.6363636;7.8787879;8.1212121;8.2424242;8.3636364;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.151515;11.272727;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.48484848;1.6969697;1.9393939;2.9090909;3.2727273;3.6363636;4;4.1212121;5.2121212;5.5757576;6.1818182;6.5454545;7.030303;7.7575758;8;8.4848485;11.030303;11.393939,NLLS,0.0008695582286382,0.0676780450933909,13.04417713617616,32.32195490660911,0.2360339119663035,0.0215179073509721,3.3529612728761693,,0.0,0.0,,,,,,
high,0.2,3,2003,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.36363636;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;2.0606061;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.3939394;3.5151515;3.7575758;3.8787879;4.2424242;4.3636364;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.3333333;5.4545455;5.6969697;5.8181818;5.9393939;6.0606061;6.3030303;6.4242424;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.6363636;7.8787879;8.1212121;8.2424242;8.3636364;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.151515;11.272727;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.48484848;1.6969697;1.9393939;2.9090909;3.2727273;3.6363636;4;4.1212121;5.2121212;5.5757576;6.1818182;6.5454545;7.030303;7.7575758;8;8.4848485;11.030303;11.393939,NN,,,,,0.2350998076773142,0.0301578738561139,0.0408921601089314,,0.0,,,,,,,
high,0.2,3,2003,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.36363636;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;2.0606061;2.1818182;2.3030303;2.4242424;2.5454545;2.6666667;2.7878788;3.030303;3.1515152;3.3939394;3.5151515;3.7575758;3.8787879;4.2424242;4.3636364;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.3333333;5.4545455;5.6969697;5.8181818;5.9393939;6.0606061;6.3030303;6.4242424;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.6363636;7.8787879;8.1212121;8.2424242;8.3636364;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.151515;11.272727;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.48484848;1.6969697;1.9393939;2.9090909;3.2727273;3.6363636;4;4.1212121;5.2121212;5.5757576;6.1818182;6.5454545;7.030303;7.7575758;8;8.4848485;11.030303;11.393939,PINN,0.000817516628424,0.0549059638295689,18.248337157591987,45.09403617043105,0.2357731084302963,0.0226138485221456,0.0125468580967635,2.0,0.0,0.0135120980340942,0.006626582095556,0.000896556973904,0.007409348337832,0.0042307754939653,0.0110482502680639,0.0060920227791294
high,0.2,4,2004,7fe456a139bdd337c4ea52ff50758ac0b7e92ac16da18e70424f2c30b0252f44,80,20,0;0.12121212;0.24242424;0.48484848;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.6969697;1.8181818;1.9393939;2.0606061;2.1818182;2.3030303;2.5454545;2.6666667;2.7878788;2.9090909;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;3.8787879;4;4.2424242;4.3636364;4.7272727;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;6.1818182;6.3030303;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8.1212121;8.2424242;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.424242;10.545455;10.666667;10.787879;11.030303;11.151515;11.393939;11.515152;11.878788,0.36363636;0.60606061;0.72727273;2.4242424;3.030303;4.1212121;4.4848485;4.6060606;4.8484848;5.8181818;5.9393939;6.0606061;8;10.181818;10.30303;10.909091;11.272727;11.636364;11.757576;12,NLLS,0.0009489293588397,0.082147614325511,5.10706411602686,17.852385674488936,0.2336950222608766,0.0170373111611268,2.924281280476883,,0.0,0.0,,,,,,
