,,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,D,D,D,D,alpha,alpha,alpha,alpha,beta,beta,beta,beta,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log
,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
condition,method,,,,,,,,,,,,,,,,,,,,,,,,
nordholt_bac,NLLS,1.0867841495966684,1.1306686970712618,0.15776037348203178,6,1.0867841495966684,1.1306686970712618,0.15776037348203178,6,-52.89531583558455,-53.78821368426711,2.23762620602684,6,0.03720772830502471,0.04213115863002636,0.04661160840285218,6,7.299868228893699,6.905950301331103,3.3253585648510064,6,0.0,0.0,0.0,6
nordholt_bac,NN,1.1211311859089548,1.1550536769687876,0.18772645950495076,6,,,,0,,,,0,,,,0,,,,0,,,,0
nordholt_bac,PINN,1.151793610872059,1.3281956363548806,0.42942791506158273,6,1.1542941536797318,1.3305706656507024,0.43114363119830434,6,-51.294401702219844,-50.95005296884474,2.4868594894284572,6,0.00012388627342556268,0.0001168793056357099,6.937236068560887e-05,6,5.295615664435955,4.573522281743745,2.7437290649174035,6,0.003092405765179801,0.0034425525020649246,0.0017764915980236831,6
nordholt_ddac,NLLS,1.310333613277769,1.3515232718386088,0.3176113074917218,6,1.310333613277769,1.3515232718386088,0.3176113074917218,6,-68.33012639450428,-68.43087635978064,0.9722157897507743,6,1.0000001961696584e-08,1.0000010244597756e-08,2.1050700791435822e-14,6,25.011277251558216,24.907476500523803,0.767186318233249,6,0.0,0.0,0.0,6
nordholt_ddac,NN,1.3111171746576664,1.3410450763758248,0.3091183504702893,6,,,,0,,,,0,,,,0,,,,0,,,,0
nordholt_ddac,PINN,1.4097780051287763,1.4442404798428823,0.2686693410120275,6,1.4099660696918406,1.4460566611018244,0.2695110468894379,6,-68.95202940392534,-71.24387183323722,4.885657815464939,6,9.268622043258696e-05,8.893377286663528e-05,1.5373671561352758e-05,6,23.223705320382514,23.155666006381022,1.9380021039686595,6,0.00648834577221384,0.008541185115310245,0.0072066815159694325,6
nordholt_h2o2,NLLS,0.9946390072226055,1.1208273067815218,0.32623027957544076,6,0.9946390072226055,1.1208273067815218,0.32623027957544076,6,-88.99530945247801,-90.77131188652419,3.0875118720519636,6,1.4323154114318102e-08,1.447768604310586e-08,3.529132734942242e-09,6,130.89251382254858,134.08474542534066,4.9651403224974695,6,0.0,0.0,0.0,6
nordholt_h2o2,NN,0.3981830038770802,0.9059502019647724,0.8568305692612478,6,,,,0,,,,0,,,,0,,,,0,,,,0
nordholt_h2o2,PINN,0.9947768882045565,1.1207079274764025,0.3262598560212192,6,0.9950926210120699,1.121183219206519,0.3261674115289967,6,-89.05513780420996,-90.83399217099303,3.0878318757428684,6,0.20985239482150828,0.20819869254463585,0.002888096660918819,6,298.81072497351374,298.86889970880355,0.5099649352323125,6,0.0002793946271377408,0.000314855049712718,0.00029245920710331455,6
