condition,method,start_id,initial_D_abs,initial_alpha,initial_beta,D,alpha,beta,sse,converged
nordholt_h2o2,NLLS-local,0,5.0,1e-05,0.01,-87.72655199482122,1.4741395068253787e-08,131.56964014409456,88.32837227844149,True
nordholt_h2o2,NLLS-local,1,30.0,0.001,1.0,-87.72648986010888,3.189081451957427e-06,131.78981811396758,88.32837475951101,True
nordholt_h2o2,NLLS-local,2,100.0,0.1,30.0,-87.72674257583267,0.0005220240641008626,132.33048247284748,88.32875459864226,True
nordholt_h2o2,NLLS-local,3,300.0,1.0,300.0,-87.72678706457377,0.00047392096061584627,132.1274146639584,88.32871984944406,True
nordholt_bac,NLLS-local,0,5.0,1e-05,0.01,-53.34590315455329,0.06965576202011,9.053163224662704,18.033806539098286,True
nordholt_bac,NLLS-local,1,30.0,0.001,1.0,-53.34573385443581,0.06965262228624305,9.053084220555036,18.033806539583573,True
nordholt_bac,NLLS-local,2,100.0,0.1,30.0,-53.34586508010527,0.06965504824015589,9.053145231157284,18.033806539091287,True
nordholt_bac,NLLS-local,3,300.0,1.0,300.0,-53.34590193257131,0.06965572224934341,9.053162118856443,18.033806539096688,True
nordholt_ddac,NLLS-local,0,5.0,1e-05,0.01,-68.34781586376835,1.0000000408544763e-08,25.353097358824044,151.02242492879466,True
nordholt_ddac,NLLS-local,1,30.0,0.001,1.0,-68.3470536492035,1.0000000000034729e-08,25.353508981646655,151.0224248755145,True
nordholt_ddac,NLLS-local,2,100.0,0.1,30.0,-68.34753125949246,1.0000000000663487e-08,25.353251090027737,151.02242484951137,True
nordholt_ddac,NLLS-local,3,300.0,1.0,300.0,-68.34766079102573,1.0000000014103759e-08,25.353181124720447,151.02242487681823,True
