condition,start_id,weight_seed_index,seed,initial_D_abs,initial_alpha,initial_beta,alpha,beta,D,reported_training_objective,recomputed_data_mse,recomputed_dimensionless_physics_mse,recomputed_composite_objective,network_observed_sse,ode_implied_observed_sse,network_to_fitted_ode_rmse_log,all_RN_rmse_h-1,all_RP_rmse_h-1
nordholt_h2o2,0,0,7100,5.0,1e-05,0.01,8.131444113841054e-06,1e-10,-85.54558222856058,0.810558315267365,2.698054619240801,0.0010654077495680138,0.8104817935218082,94.43191167342803,94.68104478162228,0.0036187325308550803,0.09664222316926271,0.015778163613505383
nordholt_h2o2,0,1,7101,5.0,1e-05,0.01,9.312239452456344e-06,1.0002129013472557e-10,-85.56312852014351,0.810327245267098,2.696686148196813,0.001249695575433593,0.8102555400344775,94.38401518688846,94.68115672604176,0.004220461018846015,0.10235363841003614,0.02776675859962616
nordholt_h2o2,0,2,7102,5.0,1e-05,0.01,8.926553747640658e-06,1.0196862802042251e-10,-85.57855378586689,0.8103055526052171,2.696563824914764,0.0012643400118801799,0.8102334874863093,94.37973387201673,94.68118292291759,0.004650171009772304,0.10195967406943993,0.031357375058751316
nordholt_h2o2,1,0,7110,30.0,0.001,1.0,0.0001019609989728868,1e-10,-85.43903084395893,0.8116691424541005,2.70499253176056,0.000159121510560187,0.8116568810387281,94.6747386116196,94.68754358383043,0.003722337423699483,0.030592551618405704,0.02227530876367072
nordholt_h2o2,1,1,7111,30.0,0.001,1.0,0.00014669646570565048,0.022077618028331674,-72.42958384082442,0.895487328683014,2.914499792928387,0.020528800214915845,0.894878738093432,102.00749275249355,102.08002785261904,0.006749132577859601,0.344586061380199,0.25694288905654566
nordholt_h2o2,1,2,7112,30.0,0.001,1.0,2.688748576501161e-05,1e-10,-85.51777550839931,0.8103264882630271,2.6957065289928934,0.001572942587023183,0.8102849012848913,94.34972851475128,94.68227471777364,0.003848196477688596,0.11773277712550277,0.01718942912156597
nordholt_h2o2,2,0,7120,100.0,0.1,30.0,0.001776777400654393,30.824694532195103,-98.29059128797047,0.8082558243531092,2.681244865997971,0.003708907422989522,0.8080823672223809,93.84357030992899,94.37469215468607,0.005293873582183258,0.16016803155894696,0.08789976378488096
nordholt_h2o2,2,1,7121,100.0,0.1,30.0,2.3659785503779705e-05,30.511940726391916,-97.47733325565774,0.8039549928386606,2.6702256617511475,0.0028560357896863756,0.8039237343150306,93.45789816129016,93.67130985666195,0.005491807145822724,0.145591945931307,0.06713648327930767
nordholt_h2o2,2,2,7122,100.0,0.1,30.0,2.148284571844048e-05,30.784436006493145,-97.98727667548425,0.8086332292589383,2.683965297653802,0.003434971923530123,0.8086245612196707,93.93878541788308,94.07920928700655,0.004509893084714278,0.16878123327053637,0.04927111331650517
nordholt_h2o2,3,0,7130,300.0,1.0,300.0,0.21136430007329568,298.87623370798644,-87.77754737203539,0.7573704894859595,2.5245394056936905,8.462154801810982e-06,0.7573702838629089,88.35887919927917,88.36083550264746,6.858485225531155e-05,0.0013565642918904382,0.008620854165235985
nordholt_h2o2,3,1,7131,300.0,1.0,300.0,0.21087498738378435,298.3516489708285,-87.77532208405083,0.7573786088421872,2.5245953627940496,3.958352290486484e-12,0.7573786088421732,88.36083769779174,88.36083773452157,3.07750053159264e-07,1.5651365157401927e-06,5.759819294168439e-06
nordholt_h2o2,3,2,7132,300.0,1.0,300.0,0.21193088430833656,299.5864753866939,-87.78939072747201,0.7572400451346062,2.523696693066209,0.00012530235111397181,0.7572343102709767,88.32938425731732,88.36083417738683,0.00038468842867006494,0.011813660781044013,0.03143498972444828
nordholt_bac,0,0,7200,5.0,1e-05,0.01,2.261411508174831e-06,5.978666538448866,-50.98560363321717,0.23044427743755663,0.7670069436941507,0.0003378521915328608,0.23043993529977808,18.408166648659616,18.409566251657093,0.0010887274123058664,0.023876895531280282,0.044077704621991044
nordholt_bac,0,1,7201,5.0,1e-05,0.01,2.440726539833364e-06,2.1278283999837033e-09,-53.680555072166506,0.5203000707961907,1.6678614106251015,0.019955602528418243,0.5203140257159486,40.02867385500244,43.340993687458464,0.08148859542137618,0.004165701462858395,0.3852437519056826
nordholt_bac,0,2,7202,5.0,1e-05,0.01,2.9544501833141125e-06,5.991794957767105,-50.87506451147566,0.23070613052682473,0.7668303865516931,0.0006499661494442434,0.23069908211495216,18.403929277240636,18.408928285802652,0.002240547267783765,0.05280578457101541,0.04523282081241378
nordholt_bac,1,0,7210,30.0,0.001,1.0,9.88899922865617e-05,6.651223336560008,-45.5417374489574,0.25021001327605474,0.8156905094202896,0.0052585756025274035,0.24996572842861428,19.576572226086952,19.540342186451678,0.010546442339182628,0.1774054958227904,0.0874108820575204
nordholt_bac,1,1,7211,30.0,0.001,1.0,0.0001034845347651509,6.524366116276139,-44.54042393688555,0.2584930859153417,0.8338609754442396,0.00813814020463845,0.2582964328379103,20.01266341066175,19.964002064654245,0.01236268495556868,0.23842216252801177,0.0607165032942549
nordholt_bac,1,2,7212,30.0,0.001,1.0,8.090969929689175e-05,6.191986293024804,-49.66009100447579,0.23238793764722515,0.7687129981557835,0.0017428179295824525,0.2323567173763175,18.449111955738804,18.45957394937929,0.0027538466062964513,0.11116126052249574,0.024622809063793716
nordholt_bac,2,0,7220,100.0,0.1,30.0,1.2261943172875827e-08,5.437986564562304,-96.97380651045347,0.7168848557445064,2.001715397746337,0.1160790970588809,0.716593716382782,48.04116954591209,48.135974544404974,0.013917105031051643,0.8629896244302043,0.34445195704558346
nordholt_bac,2,1,7221,100.0,0.1,30.0,5.420223480153168e-06,5.978009773528136,-96.29244341149357,1.158204874132225,2.0228779695903216,0.5476820802837965,1.1545454711608931,48.549071270167715,48.123623319778886,0.028603167027840562,1.791334060150702,0.9299412081907374
nordholt_bac,2,2,7222,100.0,0.1,30.0,1.0001597340479398e-10,5.728608284991169,-97.26155340029817,0.7263326181133152,2.0184896333541658,0.12020726171737352,0.7257541517236232,48.44375120049998,48.603491588021136,0.010923767952797175,0.6894369463261166,0.6471323640424976
nordholt_bac,3,0,7230,300.0,1.0,300.0,0.26346244092705895,291.15932926359034,-28.02664310411302,0.6942630223005324,2.314152693153948,1.700118417267679e-05,0.6942628091303571,55.539664635694756,55.54064300808081,4.1525444277015025e-05,0.0019737672281758207,0.011070651824380431
nordholt_bac,3,1,7231,300.0,1.0,300.0,0.2638307222840629,291.5716406666881,-28.026668133964925,0.6942644228578085,2.3142141634210054,1.650620782245133e-07,0.6942644140883798,55.54113992210413,55.540643418717224,1.0648342346872891e-05,0.0001863908524338912,0.0010922421509270328
nordholt_bac,3,2,7232,300.0,1.0,300.0,0.2630752207753261,290.82696193235165,-28.026691509765882,0.6942756661131475,2.3142488703714013,9.204143238513099e-07,0.6942755815257442,55.54197288891363,55.5406435137789,3.757014913579041e-05,0.000672798389234298,0.002528517210087698
nordholt_ddac,0,0,7300,5.0,1e-05,0.01,1.8887933999478817e-06,8.706660788624303,-76.32360844555393,1.3237020906501313,4.016557933664677,0.11677193678447621,1.3217393168838791,353.45709816249155,370.9514218360483,0.10344430587833726,0.8001621582995581,0.6408493984437209
nordholt_ddac,0,1,7301,5.0,1e-05,0.01,4.650045874726653e-06,8.44169351572858e-09,-72.17233274920551,2.2672496359268526,7.315142871697915,0.07272659842416801,2.2672694599335426,643.7325727094166,687.5615331949838,0.16501969038350614,0.02597342763354632,0.8086190492898847
nordholt_ddac,0,2,7302,5.0,1e-05,0.01,1.7703130646598992e-06,7.814564973285113,-65.65328679780664,1.4685379102283391,4.404394807618666,0.14634790411723786,1.4676663464028374,387.5867430704426,401.4510422115104,0.08771809437274816,0.8257981057003749,0.7969872180134467
nordholt_ddac,1,0,7310,30.0,0.001,1.0,1.0000000000004462e-10,1.0391182717589817e-10,-72.18297819661097,2.2670664829194536,7.3106326960195585,0.07393317795972816,2.2671229867655955,643.3356772497211,687.54613089439,0.16611962577290731,0.003524085384191581,0.8157120708067023
nordholt_ddac,1,1,7311,30.0,0.001,1.0,9.534071449614127e-05,22.417368389319854,-70.99223192415194,0.5443596208990702,1.7878282399434944,0.007768735666105862,0.544117207649154,157.3288851150275,157.87725942309322,0.015359447005239352,0.14071712712138962,0.2238689597279074
nordholt_ddac,1,2,7312,30.0,0.001,1.0,8.878126581321621e-05,20.36921014397066,-75.10405103582677,0.6104911169984472,1.9810929690241303,0.016054238792516187,0.6103821294997553,174.33618127412348,175.09370191415923,0.014737555594161466,0.29527975057821065,0.2393700441390179
nordholt_ddac,2,0,7320,100.0,0.1,30.0,0.023426925334120774,25.01813987167446,-96.39989881522297,0.9013324171523679,2.88239241456581,0.03394337710082555,0.8986611014705684,253.6505324817913,256.5800524198163,0.02375936480560756,0.37346495848817546,0.4074485472901522
nordholt_ddac,2,1,7321,100.0,0.1,30.0,0.010796564669534547,25.34004182186397,-97.09115657034769,0.9274606968689924,3.0350184681381687,0.016632222967413894,0.9271377634088644,267.0816251961588,270.73771958187956,0.030271739328190543,0.20444110348223968,0.3284719804088154
nordholt_ddac,2,2,7322,100.0,0.1,30.0,0.007252067136218517,24.058879331324253,-95.66782657689511,0.9166989617614798,2.9144705417496883,0.04209366835610868,0.9164348308810152,256.4734076739726,258.337540295552,0.01381389079784559,0.5495300238299532,0.27723594304207605
nordholt_ddac,3,0,7330,300.0,1.0,300.0,0.2306789182552843,287.1835577093442,-56.7611534135097,0.9250230273203114,3.0833966555677534,3.8486286319216736e-06,0.9250228452989578,271.3389056899623,271.32952837060384,6.015126958876002e-05,0.0017308830674238917,0.005625095687559486
nordholt_ddac,3,1,7331,300.0,1.0,300.0,0.23131937080138898,287.6385185560078,-56.75999997959125,0.9249292739678847,3.0828719043029924,6.406022693409935e-05,0.9249256315178317,271.29272757866335,271.3295101671388,0.00023121200153645318,0.006302120969339715,0.02316949101069557
nordholt_ddac,3,2,7332,300.0,1.0,300.0,0.23136578777475586,287.8627486236431,-56.761166047153985,0.9250136161872445,3.0833720650629317,1.8962869114264479e-06,0.9250135158057908,271.336741725538,271.329527622587,4.772781287579305e-05,0.000992322380659833,0.004010221751434655
