condition,bootstrap_configuration,cluster_counts,probability,D,alpha,beta,weighted_sse,converged,alpha_at_lower_bound,beta_at_lower_bound,any_upper_bound
nordholt_h2o2,1,0;0;0;0;5,0.0003200000000000001,-80.05784326439174,1.2091395086773942e-08,123.03885160687962,79.99755192027803,True,False,False,False
nordholt_h2o2,2,0;0;0;1;4,0.001600000000000002,-85.88425465860509,1.2091395086773942e-08,129.21088802244108,83.60213817345459,True,False,False,False
nordholt_h2o2,3,0;0;0;2;3,0.0032000000000000045,-91.71063225471215,1.2091395086773942e-08,135.39711492862875,84.3275328963148,True,False,False,False
nordholt_h2o2,4,0;0;0;3;2,0.0032000000000000045,-97.53698337633521,1.2091395086773942e-08,141.58550009471983,82.17373575564862,True,False,False,False
nordholt_h2o2,5,0;0;0;4;1,0.001600000000000002,-103.3633003859831,1.0205677451719915e-08,147.79085925797312,77.14074640388014,True,False,False,False
nordholt_h2o2,6,0;0;0;5;0,0.0003200000000000001,-109.18958455723406,1.020298773691338e-08,154.0082465876351,69.22856448452177,True,False,False,False
nordholt_h2o2,7,0;0;1;0;4,0.001600000000000002,-80.39270174597397,1.2091395086773942e-08,123.42282397090543,80.52265029479094,True,False,False,False
nordholt_h2o2,8,0;0;1;1;3,0.006400000000000004,-86.21910446059671,1.2091395086773942e-08,129.6060076827613,83.9617540942529,True,False,False,False
nordholt_h2o2,9,0;0;1;2;2,0.009600000000000017,-92.04548201882794,1.2091395086773942e-08,135.78896151124079,84.52166632010749,True,False,False,False
nordholt_h2o2,10,0;0;1;3;1,0.006400000000000004,-97.87182886749203,1.2091395086773942e-08,141.98288272907942,82.20238663730416,True,False,False,False
nordholt_h2o2,11,0;0;1;4;0,0.001600000000000002,-103.69814243167173,1.0205787107456503e-08,148.1904530296663,77.00391469639797,True,False,False,False
nordholt_h2o2,12,0;0;2;0;3,0.0032000000000000045,-80.7275533797528,1.2091395086773942e-08,123.82531503106866,81.03823749724091,True,False,False,False
nordholt_h2o2,13,0;0;2;1;2,0.009600000000000017,-86.55395645186962,1.2091395086773942e-08,130.0014967804726,84.31185883837982,True,False,False,False
nordholt_h2o2,14,0;0;2;2;1,0.009600000000000017,-92.38033173004048,1.2091395086773942e-08,136.18139753051426,84.706288561901,True,False,False,False
nordholt_h2o2,15,0;0;2;3;0,0.0032000000000000045,-98.20667178398696,1.2091395086773942e-08,142.3835987913026,82.22152633102976,True,False,False,False
nordholt_h2o2,16,0;0;3;0;2,0.0032000000000000045,-81.06241090685961,1.2091395086773942e-08,124.21458081966198,81.54431352815328,True,False,False,False
nordholt_h2o2,17,0;0;3;1;1,0.006400000000000004,-86.88881185842362,1.2091395086773942e-08,130.3855028609955,84.6524524057465,True,False,False,False
nordholt_h2o2,18,0;0;3;2;0,0.0032000000000000045,-92.71517719706041,1.2091395086773942e-08,136.58331013580892,84.88139962063426,True,False,False,False
nordholt_h2o2,19,0;0;4;0;1,0.001600000000000002,-81.39726390767994,1.1940812223776373e-08,124.60804955652918,82.04087838642505,True,False,False,False
nordholt_h2o2,20,0;0;4;1;0,0.001600000000000002,-87.22365518712812,1.2091395086773942e-08,130.79476898362304,84.98353479435202,True,False,False,False
nordholt_h2o2,21,0;0;5;0;0,0.0003200000000000001,-81.7321154086042,1.2091395086773942e-08,125.01014927719552,82.52793207187739,True,False,False,False
nordholt_h2o2,22,0;1;0;0;4,0.001600000000000002,-80.09898108260613,1.2091395086773942e-08,123.09995862787417,83.00508501856544,True,False,False,False
nordholt_h2o2,23,0;1;0;1;3,0.006400000000000004,-85.92539253862645,1.2091395086773942e-08,129.27028573163483,86.58933772439501,True,False,False,False
nordholt_h2o2,24,0;1;0;2;2,0.009600000000000017,-91.75177647100287,1.2091395086773942e-08,135.44353233048471,87.29439891057739,True,False,False,False
nordholt_h2o2,25,0;1;0;3;1,0.006400000000000004,-97.57812796303554,1.2091395086773942e-08,141.63277940096688,85.12026824919664,True,False,False,False
nordholt_h2o2,26,0;1;0;4;0,0.001600000000000002,-103.40444881032396,1.0206369960502085e-08,147.8325358845422,80.06694539816944,True,False,False,False
nordholt_h2o2,27,0;1;1;0;3,0.006400000000000004,-80.43383554491818,1.2091395086773942e-08,123.49387231633936,83.52901470818762,True,False,False,False
nordholt_h2o2,28,0;1;1;1;2,0.019200000000000016,-86.26024552196736,1.2091395086773942e-08,129.66126609490365,86.94778496251259,True,False,False,False
nordholt_h2o2,29,0;1;1;2;1,0.019200000000000016,-92.08662422691586,1.2091395086773942e-08,135.84139343577317,87.48736365431225,True,False,False,False
nordholt_h2o2,30,0;1;1;3;0,0.006400000000000004,-97.91297050712663,1.2091395086773942e-08,142.033393780084,85.14775045410967,True,False,False,False
nordholt_h2o2,31,0;1;2;0;2,0.009600000000000017,-80.76869313062639,1.2091395086773942e-08,123.88245866477803,84.04343322680646,True,False,False,False
nordholt_h2o2,32,0;1;2;1;1,0.019200000000000016,-86.59509755246978,1.2091395086773942e-08,130.05604270269563,87.29672102444026,True,False,False,False
nordholt_h2o2,33,0;1;2;2;0,0.009600000000000017,-92.42147242047663,1.2138219362840967e-08,136.2376151480429,87.67081721650047,True,False,False,False
nordholt_h2o2,34,0;1;3;0;1,0.006400000000000004,-81.10354770684476,1.2021773886150008e-08,124.27727304101047,84.5483405737953,True,False,False,False
nordholt_h2o2,35,0;1;3;1;0,0.006400000000000004,-86.92995184974285,1.2091395086773942e-08,130.4469220189353,87.63614590962912,True,False,False,False
nordholt_h2o2,36,0;1;4;0;0,0.001600000000000002,-81.43840254673508,1.2091395086773942e-08,124.67081879452371,85.04373674880785,True,False,False,False
nordholt_h2o2,37,0;2;0;0;3,0.0032000000000000045,-80.14012089486971,1.2091395086773942e-08,123.15978924953487,86.01247451288582,True,False,False,False
nordholt_h2o2,38,0;2;0;1;2,0.009600000000000017,-85.96653294559357,1.2987031390657917e-08,129.32451514553622,89.57639367358053,True,False,False,False
nordholt_h2o2,39,0;2;0;2;1,0.009600000000000017,-91.79291759156628,1.2091395086773942e-08,135.4977541701622,90.26112132383949,True,False,False,False
nordholt_h2o2,40,0;2;0;3;0,0.0032000000000000045,-97.61927207262357,1.2091395086773942e-08,141.68405511667552,88.06665714278259,True,False,False,False
nordholt_h2o2,41,0;2;1;0;2,0.009600000000000017,-80.47497699807265,1.2091395086773942e-08,123.55122813444258,86.53523551825322,True,False,False,False
nordholt_h2o2,42,0;2;1;1;1,0.019200000000000016,-86.3013830728301,1.2091395086773942e-08,129.7199579052376,89.93367222872028,True,False,False,False
nordholt_h2o2,43,0;2;1;2;0,0.009600000000000017,-92.12776726069494,1.188901233035405e-08,135.89134877559508,90.45291738760976,True,False,False,False
nordholt_h2o2,44,0;2;2;0;1,0.009600000000000017,-80.80983540459083,1.2033804525793484e-08,123.93940826502269,87.04848535307625,True,False,False,False
nordholt_h2o2,45,0;2;2;1;0,0.009600000000000017,-86.63623810490006,1.2091395086773942e-08,130.11103466862514,90.28143960869129,True,False,False,False
nordholt_h2o2,46,0;2;3;0;0,0.0032000000000000045,-81.14468478213537,1.1811125802979094e-08,124.33812846867608,87.55222401636505,True,False,False,False
nordholt_h2o2,47,0;3;0;0;2,0.0032000000000000045,-80.18125714450824,1.2091395086773942e-08,123.22667877708518,89.01972040351362,True,False,False,False
nordholt_h2o2,48,0;3;0;1;1,0.006400000000000004,-86.0076733050855,1.1480132321562804e-08,129.38190661440885,92.56330601880096,True,False,False,False
nordholt_h2o2,49,0;3;0;2;0,0.0032000000000000045,-91.83406283363534,1.1097546930886576e-08,135.54314264788243,93.22770013571282,True,False,False,False
nordholt_h2o2,50,0;3;1;0;1,0.006400000000000004,-80.51611308023595,1.2091395086773942e-08,123.61467254042132,89.5413127248424,True,False,False,False
nordholt_h2o2,51,0;3;1;1;0,0.006400000000000004,-86.34252518679405,1.1221386371610173e-08,129.77488525070322,92.9194158922657,True,False,False,False
nordholt_h2o2,52,0;3;2;0;0,0.0032000000000000045,-80.8509704752073,1.2091395086773942e-08,124.00602662494676,90.05339387601381,True,False,False,False
nordholt_h2o2,53,0;4;0;0;1,0.001600000000000002,-80.22239759282836,1.2091395086773942e-08,123.28279938388442,92.02682269027453,True,False,False,False
nordholt_h2o2,54,0;4;0;1;0,0.001600000000000002,-86.04881293981835,1.1241040591430519e-08,129.4413154057463,95.55007476291111,True,False,False,False
nordholt_h2o2,55,0;4;1;0;0,0.001600000000000002,-80.55725608067613,1.2091395086773942e-08,123.66608858291588,92.5472463282805,True,False,False,False
nordholt_h2o2,56,0;5;0;0;0,0.0003200000000000001,-80.26353732569521,1.2091395086773942e-08,123.34113549094435,95.03378137369387,True,False,False,False
nordholt_h2o2,57,1;0;0;0;4,0.001600000000000002,-81.5241467558948,1.2091395086773942e-08,125.00146680996603,82.14960803369823,True,False,False,False
nordholt_h2o2,58,1;0;0;1;3,0.006400000000000004,-87.35053673386493,1.2091395086773942e-08,131.17771765669244,85.02949596847628,True,False,False,False
nordholt_h2o2,59,1;0;0;2;2,0.009600000000000017,-93.17689815056724,1.2101113043027285e-08,137.36224251453442,85.0301920668317,True,False,False,False
nordholt_h2o2,60,1;0;0;3;1,0.006400000000000004,-99.00322651969879,1.1512287777576068e-08,143.55897633711473,82.15169599220323,True,False,False,False
nordholt_h2o2,61,1;0;0;4;0,0.001600000000000002,-104.82952471485537,1.0204989984435673e-08,149.7639072519891,76.39400739591701,True,False,False,False
nordholt_h2o2,62,1;0;1;0;3,0.006400000000000004,-81.85900114767911,1.234377827390855e-08,125.39727243905278,82.63305397989535,True,False,False,False
nordholt_h2o2,63,1;0;1;1;2,0.019200000000000016,-87.68538740466035,1.2091395086773942e-08,131.571990486561,85.34745942569072,True,False,False,False
nordholt_h2o2,64,1;0;1;2;1,0.019200000000000016,-93.51174403820312,1.1692246994271355e-08,137.75823646265232,85.1826729911316,True,False,False,False
nordholt_h2o2,65,1;0;1;3;0,0.006400000000000004,-99.33806885649778,1.1222307567267558e-08,143.9579282285443,82.13869433850763,True,False,False,False
nordholt_h2o2,66,1;0;2;0;2,0.009600000000000017,-82.19385599869436,1.2091395086773942e-08,125.78738280103366,83.10698875102229,True,False,False,False
nordholt_h2o2,67,1;0;2;1;1,0.019200000000000016,-88.02023895552948,1.2091395086773942e-08,131.96315190107973,85.65591170304285,True,False,False,False
nordholt_h2o2,68,1;0;2;2;0,0.009600000000000017,-93.84659012833737,1.1566486465639366e-08,138.1567260460641,85.32564273015079,True,False,False,False
nordholt_h2o2,69,1;0;3;0;1,0.006400000000000004,-82.52870862913798,1.2091395086773942e-08,126.18176126121251,83.57141234718512,True,False,False,False
nordholt_h2o2,70,1;0;3;1;0,0.006400000000000004,-88.35508998798898,1.2091395086773942e-08,132.3568762969651,85.95485279984905,True,False,False,False
nordholt_h2o2,71,1;0;4;0;0,0.001600000000000002,-82.86356234453908,1.1995517073713425e-08,126.57433149599437,84.0263247675352,True,False,False,False
nordholt_h2o2,72,1;1;0;0;3,0.006400000000000004,-81.56528695720695,1.1797378857711956e-08,125.05853365707725,85.15202307507238,True,False,False,False
nordholt_h2o2,73,1;1;0;1;2,0.019200000000000016,-87.39167898191481,1.3026254808033898e-08,131.2274379905904,88.0115774833159,True,False,False,False
nordholt_h2o2,74,1;1;0;2;1,0.019200000000000016,-93.21804322550659,1.1572652513211455e-08,137.40604234488785,87.99194006862207,True,False,False,False
nordholt_h2o2,75,1;1;0;3;0,0.006400000000000004,-99.04437839801234,1.1377826232515062e-08,143.59118348825484,85.09311050337935,True,False,False,False
nordholt_h2o2,76,1;1;1;0;2,0.019200000000000016,-81.9001433503732,1.1899025583832468e-08,125.4498795717473,85.63430034030266,True,False,False,False
nordholt_h2o2,77,1;1;1;1;1,0.03840000000000004,-87.72653362628975,1.2091395086773942e-08,131.61798867473235,88.32837226155863,True,False,False,False
nordholt_h2o2,78,1;1;1;2;0,0.019200000000000016,-93.55289036685824,1.1187331269687175e-08,137.803704588432,88.14325231767246,True,False,False,False
nordholt_h2o2,79,1;1;2;0;1,0.019200000000000016,-82.23499788058055,1.2091395086773942e-08,125.84089874576641,86.10706643141225,True,False,False,False
nordholt_h2o2,80,1;1;2;1;0,0.019200000000000016,-88.06138285722301,1.2091395086773942e-08,132.0141844275949,88.63565586093969,True,False,False,False
nordholt_h2o2,81,1;1;3;0;0,0.006400000000000004,-82.56985321148748,1.2071595505358076e-08,126.2327192938687,86.57032134764277,True,False,False,False
nordholt_h2o2,82,1;2;0;0;2,0.009600000000000017,-81.6064338344739,1.2091395086773942e-08,125.10254413788725,88.15429451552782,True,False,False,False
nordholt_h2o2,83,1;2;0;1;1,0.019200000000000016,-87.43282594492418,1.2091395086773942e-08,131.27687282229823,90.99351539631884,True,False,False,False
nordholt_h2o2,84,1;2;0;2;0,0.009600000000000017,-93.25918893300285,1.128354481454662e-08,137.45388274427057,90.95354447074396,True,False,False,False
nordholt_h2o2,85,1;2;1;0;1,0.019200000000000016,-81.94128711889508,1.1690309212871857e-08,125.49829979177474,88.63540309963057,True,False,False,False
nordholt_h2o2,86,1;2;1;1;0,0.019200000000000016,-87.76767558357042,1.2091395086773942e-08,131.67033739878093,91.30914149699852,True,False,False,False
nordholt_h2o2,87,1;2;2;0;0,0.009600000000000017,-82.27614041292527,1.203949604072191e-08,125.89367934249049,89.10700051065014,True,False,False,False
