condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,1,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,2,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,3,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,4,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,5,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,6,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
ciprofloxacin,assumed_0.1pct,0.001,7,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,8,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,9,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,10,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,11,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,12,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,13,2;3;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,14,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,15,3;3;1,-4.284108599810683,1.0000000219532004e-08,0.6120669412629607,14.385707793607565
ciprofloxacin,assumed_0.1pct,0.001,16,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,17,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,18,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,19,2;1;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,20,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,21,1;2;1,-5.044609750955861,1.000000000755092e-08,0.5243407428678257,10.375009090792112
ciprofloxacin,assumed_0.1pct,0.001,22,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,23,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,24,3;1;3,-4.284108824733373,1.0000000157995094e-08,0.6120669570266591,14.385707793610713
ciprofloxacin,assumed_0.1pct,0.001,25,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,26,2;2;3,-4.2468014256329685,1.0000006990679619e-08,0.5008131312271882,12.322395134934537
ciprofloxacin,assumed_0.1pct,0.001,27,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,28,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,29,2;1;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,30,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,31,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,32,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,33,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,34,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
