condition,initial_fraction,D,alpha,beta,train_sse
ciprofloxacin,1e-06,-4.342241486775867,0.0021015609230598136,0.4200083757087224,13.46222385926269
ciprofloxacin,2.1544346900318822e-06,-4.342262549612983,0.0020970615216113707,0.42000841704064806,13.462223860699563
ciprofloxacin,4.641588833612782e-06,-4.342265371151825,0.0020873059200802826,0.42000923447601224,13.462223859417493
ciprofloxacin,9.999999999999999e-06,-4.342272697166753,0.002066295547427789,0.4200083485266672,13.4622238620866
ciprofloxacin,2.1544346900318823e-05,-4.342340190196872,0.0020210187334461947,0.42000380652021513,13.462223859836051
ciprofloxacin,4.641588833612772e-05,-4.342404110184779,0.0019233154304941678,0.41998139889866837,13.462223868303452
ciprofloxacin,0.0001,-4.342677701669655,0.0017132335506945423,0.41996802125416177,13.462223858889429
ciprofloxacin,0.00016165371753033532,-4.342937610435784,0.0014714448808773955,0.4199542833907455,13.462223868587701
ciprofloxacin,0.00021544346900318823,-4.343169596896032,0.0012601815338268245,0.4199118828328685,13.462223862306656
ciprofloxacin,0.00046415888336127773,-4.3442475893019745,0.00028396297295720245,0.41980681648825247,13.46222386106717
ciprofloxacin,0.001,-4.525389050500972,1.000000000000151e-08,0.5441107577449953,14.151400910926832
ciprofloxacin,0.002154434690031882,-4.778758731370011,1.0000000000107985e-08,0.7006398748501836,17.326032384828338
ciprofloxacin,0.004641588833612777,-5.085838477501735,1.00000012454793e-08,0.86007161835869,23.83100210027576
ciprofloxacin,0.01,-5.520488297017816,1.016445209816856e-08,1.0210185795419575,34.44893248554616
ciprofloxacin,0.021544346900318822,-6.326166884138772,1.000253418072335e-08,1.181106740778903,49.74634138140619
ciprofloxacin,0.046415888336127725,-8.091309682538196,1.1180674248414979e-08,1.338908070792172,70.26254030039497
ciprofloxacin,0.1,-29.99673924958829,7.888014435841786e-07,1.478583538844666,94.54782707875812
ampicillin,1e-06,-4.1740313190990195,0.0002167548281768627,0.8760420235075529,58.35623960622702
ampicillin,2.1544346900318822e-06,-4.17400014070091,0.00021290331174508866,0.8759826444630247,58.35623967512108
ampicillin,4.641588833612782e-06,-4.174075287330548,0.00020485487675743887,0.8761350655960026,58.356239766007704
ampicillin,9.999999999999999e-06,-4.1740951407731846,0.00018723084749122494,0.8761786162330277,58.35624000485354
ampicillin,1.5908037919303823e-05,-4.174069111541773,0.00016758712718108375,0.8760220165446873,58.35623958131517
ampicillin,2.1544346900318823e-05,-4.174107717478997,0.00014895103729039644,0.8759745229733598,58.35623964157328
ampicillin,4.641588833612772e-05,-4.174086791439396,6.671271912523803e-05,0.8757816060689398,58.35624030538539
ampicillin,0.0001,-4.215382022027884,1.0002865846550936e-08,0.952741451293274,58.46157932540702
ampicillin,0.00021544346900318823,-4.301774939569816,1.4084621256997985e-08,1.1012031337413832,59.37376802674839
ampicillin,0.00046415888336127773,-4.403910074678864,1.000000231482801e-08,1.2531860542550217,61.525833589639106
ampicillin,0.001,-4.5394056361234245,1.0000001972245477e-08,1.407854947779028,65.24483223491292
ampicillin,0.002154434690031882,-4.74146250779805,1.00047307350646e-08,1.5639144233856286,70.77717008753187
ampicillin,0.004641588833612777,-5.085578999810379,1.0210728676025736e-08,1.7199000786159586,78.27742240454542
ampicillin,0.01,-5.738156153182331,6.528263673617802e-08,1.8742424615721613,87.8368906737729
ampicillin,0.021544346900318822,-6.987023391185873,2.9562798431642398e-05,2.0294607076032887,100.30763042010148
ampicillin,0.046415888336127725,-9.151185937616416,1.3226489637128661e-08,2.1892625324925232,118.46867670450717
ampicillin,0.1,-20.808896034617966,4.629517644258633e-06,2.334859940756426,144.08956825843106
