condition,initial_fraction,trial,train_times_h,test_times_h,n_train_observations,n_test_observations,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
peyrusson_extracellular_oxacillin,0.001,1,0.0;3.0;6.0;24.0,1.0,12,3,NLLS,1.7866458167121724,-6.1013933277684815,0.13907104831848482,0.2158490977711191,1.2902827247884823,0.0
peyrusson_extracellular_oxacillin,0.001,1,0.0;3.0;6.0;24.0,1.0,12,3,NN,1.039485243995475,,,,0.8644267635777233,0.0
peyrusson_extracellular_oxacillin,0.001,1,0.0;3.0;6.0;24.0,1.0,12,3,PINN,0.40854861569638,-1.5429359104546694,0.0011435810833815628,0.11335277991190319,0.07173104874194619,0.0
peyrusson_extracellular_oxacillin,0.001,2,0.0;1.0;6.0;24.0,3.0,12,3,NLLS,0.4108022777814188,-2.144000617684381,0.052049831763892364,0.225951535195219,1.0963431733713411,0.0
peyrusson_extracellular_oxacillin,0.001,2,0.0;1.0;6.0;24.0,3.0,12,3,NN,1.9022000902332927,,,,0.4482833998099427,0.0
peyrusson_extracellular_oxacillin,0.001,2,0.0;1.0;6.0;24.0,3.0,12,3,PINN,0.6521555784614195,-1.9286504716445791,0.0013030351089094625,0.10389614428178999,0.07061154295260777,0.0
peyrusson_extracellular_oxacillin,0.001,3,0.0;1.0;3.0;24.0,6.0,12,3,NLLS,0.6840605152013116,-2.0971500803881677,0.029956177698140216,0.20187714001767018,0.21597730817029662,0.0
peyrusson_extracellular_oxacillin,0.001,3,0.0;1.0;3.0;24.0,6.0,12,3,NN,2.4571929477558396,,,,0.0857834299999272,0.0
peyrusson_extracellular_oxacillin,0.001,3,0.0;1.0;3.0;24.0,6.0,12,3,PINN,2.36900111634202,-1.5381420984590082,9.680304064993054e-05,0.08282157997298235,0.015412719713991834,0.0
peyrusson_extracellular_oxacillin,0.001,4,0.0;1.0;3.0;6.0,24.0,12,3,NLLS,2.7670493863349086,-2.0833083783356416,0.02185561307265656,0.06742752198592368,1.0499886403464798,0.0
peyrusson_extracellular_oxacillin,0.001,4,0.0;1.0;3.0;6.0,24.0,12,3,NN,10.271448818129143,,,,0.13236143337338477,0.0
peyrusson_extracellular_oxacillin,0.001,4,0.0;1.0;3.0;6.0,24.0,12,3,PINN,3.7364431809486125,-1.6039989197159243,0.0009824582014889653,0.003567222040484658,0.055089378442071193,0.0
