,,,,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct
,,,,median,mean,std,count,median,mean,std,count
method,alpha_true,beta_true,beta_alpha_ratio,,,,,,,,
NLLS,0.0001,0.1,1000.0,96.81224213297754,28973.88883473923,64660.14905468767,5,99.99994408173578,2031.7564923328093,4384.037399416111,5
NLLS,0.001,0.1,100.0,5.782286887621424,5.873079133464854,2.488984263480587,5,5.057312176494621,10.158194212080282,10.005385313132363,5
NLLS,0.01,0.1,10.0,1.2154065777403966,1.3214418538983153,0.46558509666156944,5,8.748693777125926,6.6799916292921235,3.4543969469918685,5
NLLS,0.05,0.1,2.0,1.2142756188176729,1.4527170312351623,1.620640728977704,5,3.7369691671374383,3.0374269799833176,1.8118011235438798,5
NLLS,0.1,0.01,0.09999999999999999,3.4804449055836795,3.254428990988101,1.118811584393979,5,10.152276216477208,9.401400539935503,9.160907097771137,5
NLLS,0.1,0.1,1.0,1.7020066614507279,1.2906106622251845,0.8496725542193747,5,1.741377191050797,2.1404088697035606,1.0158371792328522,5
PINN,0.0001,0.1,1000.0,1657.9440591718972,1699.4325941124962,206.03049025680653,3,684.4925561101128,730.4462593506992,87.97594659513608,3
PINN,0.1,0.1,1.0,97.31898003217162,96.66934773578832,1.1917272755434534,3,65.36017130620829,64.24674377766422,5.893546041918714,3
