method,alpha_true,beta_true,beta_alpha_ratio,trial,alpha,beta,alpha_relative_error_pct,beta_relative_error_pct
NLLS,0.0001,0.1,1000.0,1,0.14474145605692057,9.973748359271896,144641.45605692055,9873.748359271896
PINN,0.0001,0.1,1000.0,1,0.0020230501940265203,0.9318830373548943,1923.0501940265203,831.8830373548943
NLLS,0.0001,0.1,1000.0,2,0.00011837962875549342,0.16527418154039347,18.379628755493414,65.27418154039346
PINN,0.0001,0.1,1000.0,2,0.001757944059171897,0.7749631845870902,1657.9440591718972,674.9631845870903
NLLS,0.0001,0.1,1000.0,3,0.00019681224213297755,0.21891092419316477,96.81224213297754,118.91092419316473
PINN,0.0001,0.1,1000.0,3,0.001617303529139071,0.7844925561101128,1517.3035291390709,684.4925561101128
NLLS,0.0001,0.1,1000.0,4,5.906343087706126e-08,5.5918264228391075e-08,99.94093656912294,99.99994408173578
NLLS,0.0001,0.1,1000.0,5,0.00011285530931801604,0.10084905257685703,12.85530931801604,0.8490525768570123
NLLS,0.001,0.1,100.0,1,0.0009773555487632664,0.09865106418395322,2.264445123673353,1.3489358160467813
NLLS,0.001,0.1,100.0,2,0.0009434798254835422,0.10463600475162327,5.6520174516457855,4.636004751623268
NLLS,0.001,0.1,100.0,3,0.0009074968944093759,0.11364914385768454,9.250310559062413,13.649143857684543
NLLS,0.001,0.1,100.0,4,0.001064163356453213,0.12609957445855222,6.416335645321292,26.099574458552198
NLLS,0.001,0.1,100.0,5,0.0009421771311237858,0.09494268782350539,5.782286887621424,5.057312176494621
NLLS,0.01,0.1,10.0,1,0.009895693359574987,0.09671925046743203,1.043066404250137,3.2807495325679725
NLLS,0.01,0.1,10.0,2,0.01012154065777404,0.10255505988180355,1.2154065777403966,2.555059881803534
NLLS,0.01,0.1,10.0,3,0.01014043170340971,0.0905709415061565,1.4043170340971134,9.429058493843511
NLLS,0.01,0.1,10.0,4,0.010086971007481358,0.10874869377712593,0.8697100748135789,8.748693777125926
NLLS,0.01,0.1,10.0,5,0.009792529082140965,0.10938639646111968,2.0747091785903504,9.386396461119674
NLLS,0.05,0.1,2.0,1,0.04994261759924041,0.10076456420011169,0.11476480151918489,0.7645642001116837
NLLS,0.05,0.1,2.0,2,0.05002414831840812,0.09853469937977351,0.0482966368162252,1.465300620226495
NLLS,0.05,0.1,2.0,3,0.04905805012212803,0.09555826747766424,1.8838997557439452,4.441732522335762
NLLS,0.05,0.1,2.0,4,0.049392862190591164,0.10373696916713745,1.2142756188176729,3.7369691671374383
NLLS,0.05,0.1,2.0,5,0.04799882582836061,0.0952214316098948,4.002348343278783,4.7785683901052085
NLLS,0.1,0.1,1.0,1,0.10172088289329036,0.10304917053979064,1.7208828932903542,3.0491705397906355
PINN,0.1,0.1,1.0,1,0.002604898420020118,0.034639828693791716,97.39510157997988,65.36017130620829
NLLS,0.1,0.1,1.0,2,0.09959615285827689,0.09851790363228591,0.40384714172311265,1.482096367714092
PINN,0.1,0.1,1.0,2,0.0047060384047865325,0.04212409883814059,95.29396159521347,57.87590116185941
NLLS,0.1,0.1,1.0,3,0.10037880649921006,0.09662378945453998,0.3788064992100493,3.3762105454600233
PINN,0.1,0.1,1.0,3,0.0026810199678283845,0.030495841135075013,97.31898003217162,69.50415886492497
NLLS,0.1,0.1,1.0,4,0.09775248988454832,0.09894681029549775,2.2475101154516786,1.0531897045022554
NLLS,0.1,0.1,1.0,5,0.09829799333854927,0.0982586228089492,1.7020066614507279,1.741377191050797
NLLS,0.1,0.01,0.09999999999999999,1,0.0975350167848292,0.01236339443834609,2.4649832151708018,23.633944383460893
NLLS,0.1,0.01,0.09999999999999999,2,0.09545150314584253,0.01101522762164772,4.54849685415748,10.152276216477208
NLLS,0.1,0.01,0.09999999999999999,3,0.09820430713978058,0.009898059849617136,1.7956928602194222,1.019401503828643
NLLS,0.1,0.01,0.09999999999999999,4,0.09651955509441633,0.009840000258382175,3.4804449055836795,1.599997416178256
NLLS,0.1,0.01,0.09999999999999999,5,0.09601747288019088,0.01106013831797325,3.9825271198091206,10.601383179732515
