condition,initial_condition_scenario,method,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,D,D,D,D,alpha,alpha,alpha,alpha,beta,beta,beta,beta
,,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
ampicillin,assumed_0.1pct,NLLS,1.200342224441002,1.234957723210164,0.25472226493313305,10,-4.642577208019555,-4.717157823174357,0.311544519936023,10,1.0014290307311029e-08,5.196818607301899e-05,0.0001642938521387342,10,1.3938659532937558,1.4051849758294708,0.05577356176183841,10
ampicillin,assumed_0.1pct,NN,1.1688331182918112,1.1546443377294455,0.19582555562395168,10,,,,0,,,,0,,,,0
ampicillin,assumed_0.1pct,PINN,1.14872107467417,1.1894036414452291,0.24972185584957354,10,-4.559375404605947,-4.660139567113944,0.31980964325028916,10,3.073857393358451e-05,8.37688719917577e-05,0.0001387252715787451,10,1.348878970591258,1.3717444131849914,0.05826430927698478,10
ampicillin,classification_anchor,NLLS,1.114624943808076,1.1837710054251327,0.2650389032662905,10,-4.293804928918615,-4.416208834697075,0.4124240432617022,10,0.0004337010305160569,0.0008484246833901001,0.0012456333124579724,10,1.0446614760279123,1.0056354210300302,0.21837534424639976,10
ampicillin,classification_anchor,NN,0.9504313817282322,0.9356172953377466,0.12731202511813094,10,,,,0,,,,0,,,,0
ampicillin,classification_anchor,PINN,0.950412855560802,0.9151387507018199,0.09639978103436606,10,-4.005601607425784,-4.010045172401249,0.06217140694228804,10,2.7639516957246905e-05,3.1767821294104586e-05,2.467413577116454e-05,10,0.6903409561575518,0.6876250950066741,0.04537561145735809,10
ciprofloxacin,assumed_0.1pct,NLLS,0.8415853475308261,0.7802768940425164,0.15184849524191074,10,-4.602364428514153,-4.599468322450736,0.106447552482487,10,1.0000000215322413e-08,2.433571207816688e-06,5.109335270542598e-06,10,0.5441526889358074,0.5484372152890311,0.029942061575938754,10
ciprofloxacin,assumed_0.1pct,NN,0.7860477954929024,0.7596053342475965,0.14414295823742465,10,,,,0,,,,0,,,,0
ciprofloxacin,assumed_0.1pct,PINN,0.8582057446325186,0.7754689575759108,0.15937438510255078,10,-4.566030280997583,-4.5796332255978,0.1024037818724955,10,2.2578930626727555e-05,9.074661619756357e-05,0.00014137680792280377,10,0.5172076551206553,0.5312869322561147,0.0417181200125339,10
ciprofloxacin,classification_anchor,NLLS,0.968880819677215,0.8501986270484666,0.18924144076221944,10,-4.48883129328247,-4.460903050346772,0.14657675160375935,10,0.0011499490819566255,0.0016741019095322964,0.0009970140584863814,10,0.38315238604934543,0.4248855056143359,0.10297853829315516,10
ciprofloxacin,classification_anchor,NN,0.7867741387991234,0.8054125428983838,0.20410313054862916,10,,,,0,,,,0,,,,0
ciprofloxacin,classification_anchor,PINN,0.738439273871459,0.798427517436804,0.2177823256185161,10,-4.161287512377639,-4.269164704041929,0.2163670178737265,10,0.000522628511738294,0.0005245998522357028,5.1250379598465703e-05,10,0.29321578087642397,0.30281876112813016,0.025982069615096436,10
