condition,initial_condition_scenario,initial_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
ciprofloxacin,assumed_0.1pct,0.001,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NLLS,0.5174707734912304,-4.486201852217192,1.0000000004555805e-08,0.5444474973978677,12.556140937810854,0.0
ciprofloxacin,assumed_0.1pct,0.001,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NN,0.5276667607058514,,,,0.4100385543138562,0.0
ciprofloxacin,assumed_0.1pct,0.001,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,PINN,0.5246154917559371,-4.441137772629376,4.767974706230409e-06,0.5185140382658006,0.11680523807013062,0.0
ciprofloxacin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,0.8503631268229839,-4.63319443885667,1.00000000015911e-08,0.5291750132043443,9.95931197808805,0.0
ciprofloxacin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,0.8498818393141871,,,,0.32128988237010314,0.0
ciprofloxacin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,0.8582024593026127,-4.604634271018045,2.4738067552157806e-05,0.5072440213717642,0.09213369030073273,0.0
ciprofloxacin,assumed_0.1pct,0.001,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NLLS,0.8430996564315169,-4.7973949602448265,1.0000000239961352e-08,0.5482879645229539,10.407767625763865,0.0
ciprofloxacin,assumed_0.1pct,0.001,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NN,0.7644942225822831,,,,0.347122087584341,0.0
ciprofloxacin,assumed_0.1pct,0.001,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,PINN,0.8810316875003642,-4.78270415562755,1.4589028214102115e-05,0.5168902881406237,0.09427064369301609,0.0
ciprofloxacin,assumed_0.1pct,0.001,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NLLS,0.689927506280791,-4.649828143618638,1.0000000190683472e-08,0.5217765964392563,11.559710049651587,0.0
ciprofloxacin,assumed_0.1pct,0.001,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NN,0.6424044909383745,,,,0.3894170641025166,0.0
ciprofloxacin,assumed_0.1pct,0.001,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,PINN,0.6429768758349226,-4.6263445362504845,7.458075860602837e-05,0.5082393465363301,0.11186675458767902,0.0
ciprofloxacin,assumed_0.1pct,0.001,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NLLS,0.8400710386301354,-4.716733392725616,1.0000000001277716e-08,0.5476692920348502,10.185249443750179,0.0
ciprofloxacin,assumed_0.1pct,0.001,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NN,0.8076013684035218,,,,0.333549462193168,0.0
ciprofloxacin,assumed_0.1pct,0.001,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,PINN,0.8627857412334653,-4.686988373821597,2.806662863448844e-05,0.5179800329208779,0.09236553621865928,0.0
ciprofloxacin,assumed_0.1pct,0.001,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,0.9688962772740674,-4.482835609213527,1.2127853278424638e-05,0.6013745905772129,9.742112117429722,0.0
ciprofloxacin,assumed_0.1pct,0.001,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,0.9445346190785856,,,,0.3280649557325954,0.0
ciprofloxacin,assumed_0.1pct,0.001,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,0.9543016810321865,-4.5091180361229,0.00037089106214732015,0.6114458952703231,0.09510032270338975,0.0
ciprofloxacin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,0.8503631268229839,-4.63319443885667,1.00000000015911e-08,0.5291750132043443,9.95931197808805,0.0
ciprofloxacin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,0.8496401708366553,,,,0.32119742155617026,0.0
ciprofloxacin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,0.8582090299624244,-4.607764183581642,1.0602752072602672e-05,0.5058173877528007,0.0917933387270472,0.0
ciprofloxacin,assumed_0.1pct,0.001,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,0.9688962772740674,-4.482835609213527,1.2127853278424638e-05,0.6013745905772129,9.742112117429722,0.0
ciprofloxacin,assumed_0.1pct,0.001,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,0.9448873365748772,,,,0.3282148243957606,0.0
ciprofloxacin,assumed_0.1pct,0.001,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,0.9489281269430692,-4.501211004684405,0.000341541750436568,0.607784234733941,0.09505444154021472,0.0
ciprofloxacin,assumed_0.1pct,0.001,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NLLS,0.618911205243861,-4.571534418171636,1.0004634316867105e-08,0.5438578804737471,11.86847061365554,0.0
ciprofloxacin,assumed_0.1pct,0.001,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NN,0.6289251739810647,,,,0.3935145702238319,0.0
ciprofloxacin,assumed_0.1pct,0.001,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,PINN,0.6156915941254633,-4.527426290977121,2.0419793701297305e-05,0.5175250221006868,0.11050654789509377,0.0
ciprofloxacin,assumed_0.1pct,0.001,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NLLS,0.6547699521535272,-4.540930361389057,1.0000886561075307e-08,0.5172337144585222,11.854826813369293,0.0
ciprofloxacin,assumed_0.1pct,0.001,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NN,0.6360173600605633,,,,0.3920735860656369,0.0
ciprofloxacin,assumed_0.1pct,0.001,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,PINN,0.6079468880686623,-4.5090036312648785,1.72683459048405e-05,0.5014290554679988,0.11448809136247662,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NLLS,0.6552959659566998,-4.179593275322039,0.0006052245062169055,0.32931302217885167,11.342215093265692,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NN,0.8172458352777507,,,,0.3891671854528094,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,1,0c4cb4b687bd,30,6,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,PINN,0.6807563859884547,-4.1164539399948215,0.0004334098406734872,0.29238436189264133,0.10967688734244165,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,0.983282134821374,-4.498644606316696,0.0009837527928195273,0.3462764325817076,8.348078863964744,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,1.0547406261325154,,,,0.3328284817105612,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,2,a4cbfc0d95a9,30,6,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,1.0032112689244694,-4.439464336705278,0.0004883779559845478,0.2784671948852905,0.0844971124808036,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NLLS,1.0857170990427776,-4.721555545563482,0.0009640214625755651,0.35458945622916005,8.534038702432438,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NN,0.9436034328167505,,,,0.35623600221702995,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,3,9c5db6337f09,30,6,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,PINN,1.1281175964672607,-4.685508617529276,0.0005143909599926403,0.28926027187763165,0.08493026348100224,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NLLS,0.6418655493822879,-4.538980586096334,0.0023568332999582223,0.4634657591005699,11.381197227742918,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NN,0.5329526407376548,,,,0.46991103563128284,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,4,1705cb1c079b,30,6,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,PINN,0.5164408173228077,-4.134224164809222,0.0005537211663726555,0.2999006561880838,0.11995879116881449,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NLLS,0.9750974850231874,-4.5091808802590405,0.0009413499940664247,0.35870675412615777,8.53929190147833,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NN,0.9922118969313946,,,,0.3372346812291353,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,5,f772ef9d76cc,30,6,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,PINN,1.000914574903851,-4.452392340737123,0.00046795985870835404,0.2891061067739744,0.08504036467323794,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,6,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,0.968880819677215,-4.479017980248242,0.0032659308880853568,0.6018650321460479,9.74211212431526,0.0
