tier,method,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,alpha_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,beta_relative_error_pct,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_latent_log,test_rmse_latent_log,test_rmse_latent_log,test_rmse_latent_log
,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
high,NLLS,14.202907238307095,12.891174135336987,6.9522075475849805,10,10.672870226722637,20.666302844716615,21.256872758410157,10,0.18531562803436585,0.18907607788928063,0.02842422888614196,10,0.029186734332681027,0.031194747187563432,0.02093916365924437,10
high,NN,,,,0,,,,0,0.19708633448445512,0.2066501305161504,0.04569209067968777,10,0.08463857156516566,0.09038031033245333,0.02486556409009687,10
high,PINN,28.500016320522853,25.72787168122348,12.100816725793267,10,99.6282929986781,83.94031886792348,31.59030893171799,10,0.19374672615447674,0.19240275525383163,0.029930425423140044,10,0.04595612374092792,0.050108260631274146,0.019934038326081475,10
low,NLLS,2.7862988839895686,2.6936071720452315,1.7337027069252253,10,4.167616545117248,5.155637819475785,3.381225557776967,10,0.04954140515270246,0.04841780090367066,0.006386165971077093,10,0.006669772742390253,0.0069976689761358235,0.003344297887433818,10
low,NN,,,,0,,,,0,0.06256720118816617,0.06705358618044556,0.01411725351869774,10,0.0476044486643518,0.0503653289838516,0.008371101108189925,10
low,PINN,24.361632265798868,24.30522954721359,9.527193529058875,10,99.063029713357,98.1459196992822,2.509455447192898,10,0.06652554623118445,0.06631184147445253,0.01030216891415406,10,0.045567692657715576,0.04367937271452041,0.008531622548425164,10
moderate,NLLS,5.058949560995396,5.907353737892613,3.9363236394224796,10,12.422874945832973,15.435624244118511,9.293034344817965,10,0.10275758386205033,0.1027537013498527,0.018769558891464273,10,0.013112853531127846,0.016621063484374116,0.00956768823227391,10
moderate,NN,,,,0,,,,0,0.11854585281290814,0.1223235049685251,0.026891005695409958,10,0.057676947645943374,0.058061981791699524,0.0133570240447754,10
moderate,PINN,23.238792818327113,24.23031844440825,9.647740907909714,10,98.4896747099743,97.67604182221524,2.48114105323931,10,0.11717668629551803,0.11598557145391201,0.014093031222488566,10,0.04428754191171335,0.04650263086277972,0.011149498719781813,10
