tier,noise_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,test_rmse_latent_log,alpha,beta,alpha_relative_error_pct,beta_relative_error_pct,training_objective,initial_condition_max_abs_error
low,0.05,1,3877a033379a,80,20,0;0.12121212;0.24242424;0.48484848;0.60606061;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.3939394;3.6363636;3.7575758;4;4.1212121;4.2424242;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.3333333;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.30303;10.424242;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.636364;11.757576;11.878788;12,0.36363636;0.72727273;1.6969697;2.1818182;2.5454545;3.1515152;3.2727273;3.5151515;3.8787879;4.3636364;6.4242424;6.5454545;7.030303;7.6363636;7.7575758;9.2121212;9.4545455;10.181818;10.545455;11.515152,NLLS,0.05793390061152465,0.006531607016725008,0.0009993459899973866,0.10584604872393232,0.06540100026134477,5.846048723932307,0.22141675001551236,0.0
low,0.05,1,3877a033379a,80,20,0;0.12121212;0.24242424;0.48484848;0.60606061;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.3939394;3.6363636;3.7575758;4;4.1212121;4.2424242;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.3333333;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.30303;10.424242;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.636364;11.757576;11.878788;12,0.36363636;0.72727273;1.6969697;2.1818182;2.5454545;3.1515152;3.2727273;3.5151515;3.8787879;4.3636364;6.4242424;6.5454545;7.030303;7.6363636;7.7575758;9.2121212;9.4545455;10.181818;10.545455;11.515152,NN,0.07598250079417214,0.053892493874684116,,,,,0.004146159054274953,0.0
low,0.05,1,3877a033379a,80,20,0;0.12121212;0.24242424;0.48484848;0.60606061;0.84848485;0.96969697;1.0909091;1.2121212;1.3333333;1.4545455;1.5757576;1.8181818;1.9393939;2.0606061;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.3939394;3.6363636;3.7575758;4;4.1212121;4.2424242;4.4848485;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.6666667;6.7878788;6.9090909;7.1515152;7.2727273;7.3939394;7.5151515;7.8787879;8;8.1212121;8.2424242;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.3333333;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.30303;10.424242;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.636364;11.757576;11.878788;12,0.36363636;0.72727273;1.6969697;2.1818182;2.5454545;3.1515152;3.2727273;3.5151515;3.8787879;4.3636364;6.4242424;6.5454545;7.030303;7.6363636;7.7575758;9.2121212;9.4545455;10.181818;10.545455;11.515152,PINN,0.07168445266199519,0.049398639015243856,0.0007446472307189718,0.008415990062551044,25.535276928102824,91.58400993744895,0.009455397381573175,0.0
low,0.05,2,fe60b53a55d9,80,20,0;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.2424242;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.8181818;5.9393939;6.0606061;6.1818182;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8.1212121;8.2424242;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.2121212;9.4545455;9.5757576;9.6969697;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.36363636;0.48484848;1.2121212;1.8181818;2.5454545;3.8787879;4.3636364;4.4848485;5.6969697;6.3030303;7.030303;7.1515152;8;8.3636364;9.0909091;9.3333333;9.8181818;11.151515,NLLS,0.04925097089723952,0.005040587426370157,0.0009703170574472156,0.0949593713422274,2.9682942552784475,5.040628657772606,0.19256225220150008,0.0
low,0.05,2,fe60b53a55d9,80,20,0;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.2424242;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.8181818;5.9393939;6.0606061;6.1818182;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8.1212121;8.2424242;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.2121212;9.4545455;9.5757576;9.6969697;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.36363636;0.48484848;1.2121212;1.8181818;2.5454545;3.8787879;4.3636364;4.4848485;5.6969697;6.3030303;7.030303;7.1515152;8;8.3636364;9.0909091;9.3333333;9.8181818;11.151515,NN,0.06436838737599257,0.053713137701755086,,,,,0.004583236612424196,0.0
low,0.05,2,fe60b53a55d9,80,20,0;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.3333333;1.4545455;1.5757576;1.6969697;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.6666667;2.7878788;2.9090909;3.030303;3.1515152;3.2727273;3.3939394;3.5151515;3.6363636;3.7575758;4;4.1212121;4.2424242;4.6060606;4.7272727;4.8484848;4.969697;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.8181818;5.9393939;6.0606061;6.1818182;6.4242424;6.5454545;6.6666667;6.7878788;6.9090909;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8.1212121;8.2424242;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.2121212;9.4545455;9.5757576;9.6969697;9.9393939;10.060606;10.181818;10.30303;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.12121212;0.24242424;0.36363636;0.48484848;1.2121212;1.8181818;2.5454545;3.8787879;4.3636364;4.4848485;5.6969697;6.3030303;7.030303;7.1515152;8;8.3636364;9.0909091;9.3333333;9.8181818;11.151515,PINN,0.06169960300599932,0.04275075312218652,0.000774008653948849,0.001017728619128297,22.5991346051151,98.9822713808717,0.010778072788298404,0.0
low,0.05,3,3ee3928f51f6,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.2121212;1.3333333;1.4545455;1.6969697;1.8181818;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.7878788;3.030303;3.2727273;3.3939394;3.6363636;3.7575758;3.8787879;4.3636364;4.6060606;4.8484848;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.9393939;6.0606061;6.3030303;6.4242424;6.5454545;6.6666667;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.6363636;7.7575758;7.8787879;8;8.1212121;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.60606061;1.0909091;1.5757576;2.5454545;2.6666667;2.9090909;3.1515152;3.5151515;4;4.1212121;4.2424242;4.4848485;4.7272727;4.969697;5.8181818;6.1818182;6.7878788;7.5151515;8.2424242;10.30303,NLLS,0.04144139081277234,0.0027108340300182154,0.0010198151945762606,0.10219818595599338,1.9815194576260575,2.1981859559933703,0.1735835276049434,0.0
low,0.05,3,3ee3928f51f6,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.2121212;1.3333333;1.4545455;1.6969697;1.8181818;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.7878788;3.030303;3.2727273;3.3939394;3.6363636;3.7575758;3.8787879;4.3636364;4.6060606;4.8484848;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.9393939;6.0606061;6.3030303;6.4242424;6.5454545;6.6666667;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.6363636;7.7575758;7.8787879;8;8.1212121;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.60606061;1.0909091;1.5757576;2.5454545;2.6666667;2.9090909;3.1515152;3.5151515;4;4.1212121;4.2424242;4.4848485;4.7272727;4.969697;5.8181818;6.1818182;6.7878788;7.5151515;8.2424242;10.30303,NN,0.08551462961299527,0.05926844304869105,,,,,0.0042318270020313895,0.0
low,0.05,3,3ee3928f51f6,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.72727273;0.84848485;0.96969697;1.2121212;1.3333333;1.4545455;1.6969697;1.8181818;1.9393939;2.0606061;2.1818182;2.3030303;2.4242424;2.7878788;3.030303;3.2727273;3.3939394;3.6363636;3.7575758;3.8787879;4.3636364;4.6060606;4.8484848;5.0909091;5.2121212;5.3333333;5.4545455;5.5757576;5.6969697;5.9393939;6.0606061;6.3030303;6.4242424;6.5454545;6.6666667;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.6363636;7.7575758;7.8787879;8;8.1212121;8.3636364;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.5757576;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.424242;10.545455;10.666667;10.787879;10.909091;11.030303;11.151515;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,0.60606061;1.0909091;1.5757576;2.5454545;2.6666667;2.9090909;3.1515152;3.5151515;4;4.1212121;4.2424242;4.4848485;4.7272727;4.969697;5.8181818;6.1818182;6.7878788;7.5151515;8.2424242;10.30303,PINN,0.061432495415955087,0.044260149337155136,0.0008584327684886254,0.0030937083175024936,14.156723151137463,96.9062916824975,0.01041002514144253,0.0
low,0.05,4,ad6abebe12d8,80,20,0;0.12121212;0.24242424;0.36363636;0.48484848;0.60606061;0.72727273;0.84848485;0.96969697;1.0909091;1.2121212;1.5757576;1.6969697;1.8181818;1.9393939;2.1818182;2.3030303;2.4242424;2.5454545;2.7878788;3.030303;3.3939394;3.5151515;3.6363636;3.7575758;4.2424242;4.3636364;4.4848485;4.6060606;4.969697;5.0909091;5.2121212;5.3333333;5.5757576;5.8181818;5.9393939;6.0606061;6.1818182;6.3030303;6.5454545;6.6666667;6.7878788;6.9090909;7.030303;7.1515152;7.2727273;7.3939394;7.5151515;7.6363636;7.7575758;7.8787879;8;8.1212121;8.4848485;8.6060606;8.7272727;8.8484848;8.969697;9.0909091;9.2121212;9.3333333;9.4545455;9.6969697;9.8181818;9.9393939;10.060606;10.181818;10.30303;10.424242;10.666667;10.787879;11.030303;11.151515;11.272727;11.393939;11.515152;11.636364;11.757576;11.878788;12,1.3333333;1.4545455;2.0606061;2.6666667;2.9090909;3.1515152;3.2727273;3.8787879;4;4.1212121;4.7272727;4.8484848;5.4545455;5.6969697;6.4242424;8.2424242;8.3636364;9.5757576;10.545455;10.909091,NLLS,0.04315298352215972,0.003370322882921072,0.0009922398482680136,0.09357622177865381,0.7760151731986409,6.423778221346199,0.20446768062146636,0.0
