dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,NLLS,-2.1810819134648227,0.04139278496341501,0.21316755237322554,1.378790806289266,1.378790806289266,1.3787908062892658,1.3787908062892658,,,0.0,0.0,,,,,,1.3787908062892658,0.9895424256161632,1.3787908062892658,0.9895424256161632
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,NN,,,,11.709816399937333,0.7807200173237577,11.709816399937333,,,,,0.0,,,,,,11.709816399937333,0.9111857466231718,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,PINN,-1.0169157181904285,2.0930015498025897e-06,0.0792045215443027,13.34007653976302,0.2724592039360739,13.34007653976302,13.423881576715626,,,0.007384098385979953,0.0,0.0,0.0,0.002801006138469664,0.0013806268661668054,100000000.0,13.34007653976302,0.898820878363632,13.423881576715626,0.8981852508241428
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NLLS,-4.5394056361234245,1.0000001972245477e-08,1.407854947779028,65.24483223491292,65.24483223491292,65.24483223491293,65.24483223491293,,,0.0,0.0,,,,,,65.24483223491293,0.9545640915771918,65.24483223491293,0.9545640915771918
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NN,,,,63.50715650594667,1.0584562312378645,63.50715650594667,,,,,0.0,,,,,,63.50715650594667,0.9557741931681588,,
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,PINN,-4.464992551680554,9.640977648673578e-05,1.4237728863841204,65.46018812616448,0.3398735382806726,65.46018812616448,65.61599496284549,,,0.006194485564367525,0.0,1.0,1.0,0.014342972086406398,0.006970456235204153,80000101.0,65.46018812616448,0.9544141196910202,65.61599496284549,0.9543056172254518
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NLLS,-4.174069111541773,0.00016758712718108375,0.8760220165446873,58.35623958131517,58.35623958131517,58.35623958131517,58.35623958131517,,,0.0,0.0,,,,,,58.35623958131517,0.9593612449186854,58.35623958131517,0.9593612449186854
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,NN,,,,59.55500195767079,0.9925834004430395,59.55500195767079,,,,,0.0,,,,,,59.55500195767079,0.9585264376904792,,
Umetani,ampicillin,classification_anchor,1.5908037919303823e-05,0,81000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,PINN,-4.023913896500038,6.052069474600023e-06,0.6340306787890829,59.20663720232451,0.3021874560465082,59.20663720232451,59.322941521050865,,,0.005811857497083826,0.0,1.0,0.0,0.010033823358936425,0.00496017139712011,81000100.0,59.20663720232451,0.9587690357412284,59.322941521050865,0.9586880424702855
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,NLLS,-4.525389050500972,1.000000000000151e-08,0.5441107577449953,14.151400910926832,14.151400910926832,14.15140091092683,14.15140091092683,,,0.0,0.0,,,,,,14.15140091092683,0.9649383884608693,14.15140091092683,0.9649383884608693
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,NN,,,,14.543208992677187,0.40399141867023247,14.543208992677187,,,,,0.0,,,,,,14.543208992677187,0.963967641971056,,
Umetani,ciprofloxacin,assumed_0.1pct,0.001,0,70000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,PINN,-6.109993978070472,8.94123936451592e-06,0.5367122422393573,25.66971927486212,0.24969237019527055,25.66971927486212,25.476563512542956,,,0.026036009701770894,0.0,2.0,0.0,0.025590013033653557,0.008494890008062058,70000200.0,25.66971927486212,0.9364005209661744,25.476563512542956,0.9368790850565855
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,NLLS,-4.342937610435784,0.0014714448808773955,0.4199542833907455,13.462223868587701,13.462223868587701,13.462223868587701,13.462223868587701,,,0.0,0.0,,,,,,13.462223868587701,0.9666458984022719,13.462223868587701,0.9666458984022719
Umetani,ciprofloxacin,classification_anchor,0.00016165371753033532,0,71000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,36,0,NN,,,,15.651104770145766,0.4347562099659323,15.651104770145766,,,,,0.0,,,,,,15.651104770145766,0.9612227115136444,,
