dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,start_id,weight_seed_index,network_seed,initial_D_abs,initial_alpha,initial_beta,alpha,beta,D,training_objective,network_to_fitted_ode_rmse_log,all_RN_rmse_h-1,all_RP_rmse_h-1,selected
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,0,0,100000000,2.0,1e-05,0.05,2.0930015498025897e-06,0.0792045215443027,-1.0169157181904285,0.2724592039360739,0.007384098385979953,0.002801006138469664,0.0013806268661668054,True
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,0,1,100000001,2.0,1e-05,0.05,1.0626651935359141e-09,0.2839140056798368,-0.4122620152550434,1.2028443008569676,0.010736808709189865,0.0015271455594841946,8.406413597038268e-06,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,1,0,100000100,5.0,0.001,0.5,0.00012296321302515909,0.056169738260205763,-2.0865673375466187,0.6838738578675693,0.018038569166471518,0.012462326488033899,0.012819611217614681,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,1,1,100000101,5.0,0.001,0.5,5.335090169976404e-05,0.4630539241383508,-0.41016679860670785,1.203452887222463,2.6294462892650025e-08,2.440238290723625e-09,2.6998619749339825e-07,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,2,0,100000200,10.0,0.05,2.0,2.1593125138290627e-05,0.10131622134822528,-0.7947786275393671,0.4024420794603889,0.01574536427989489,0.0049864465032433865,0.003868780566998843,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,2,1,100000201,10.0,0.05,2.0,1.4051819998393046e-05,0.12211525281748843,-0.5445405863103028,0.8986398673975247,0.03582897656847937,0.012400934080104464,0.003991994215576185,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,3,0,100000300,20.0,0.5,10.0,1e-10,1.0002186354147009e-10,-1.058066594430635,0.4528452257458651,0.05949077893964692,0.002000530623917127,0.004246811109957774,False
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,3,1,100000301,20.0,0.5,10.0,1.9224506602212348e-10,0.1258639499214459,-0.4707269862221243,1.092040300198279,0.040803949210372094,0.007967784332121922,0.0126407865728836,False
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,0,0,80000000,2.0,1e-05,0.05,2.7888488632920745e-06,1.3112552290617094,-5.623162011555908,0.47506281246392695,0.025482635744375638,0.021168174736495966,0.025974464489537788,False
Umetani,ampicillin,assumed_0.1pct,0.001,0,80000,0;0.333333333333;0.666666666667;1;1.5;2;2.5;3;4;5;6;7,,60,0,0,1,80000001,2.0,1e-05,0.05,2.7594881255096733e-06,1.2817414530164737,-5.8030873157331815,0.49760304477985035,0.01652861734618411,0.02906496306115859,0.01055732179944027,False
