,,,,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,test_rmse_observed_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,ode_implied_test_rmse_log,D,D,D,D,alpha,alpha,alpha,alpha,beta,beta,beta,beta,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log,network_to_fitted_ode_rmse_log
,,,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
dataset,condition,initial_condition_scenario,method,,,,,,,,,,,,,,,,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,NLLS,1.235353165956742,1.412139499007453,1.0814821653717188,4,1.235353165956742,1.412139499007453,1.0814821653717188,4,-2.120575349036274,-3.106463101044168,1.9967890436972835,4,0.04100300473101629,0.06073316771329349,0.05376154521015906,4,0.20886311889439463,0.17777632374248298,0.0742250957448359,4,0.0,0.0,0.0,4
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,NN,2.0744164464424726,3.8318503763715936,4.232393509416365,4,,,,0,,,,0,,,,0,,,,0,,,,0
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,PINN,2.2122125270099398,3.864530023539538,4.135556471107771,4,2.2100906613890157,3.8645158564358373,4.13598930402504,4,-0.9793536057941951,-1.1309559980201096,0.39103042852213765,4,2.288662249198874e-06,2.177338414140176e-06,7.38519697059844e-07,4,0.08092018522032635,0.19154096869026674,0.2243566653520081,4,0.002673375460387749,0.006450704347152831,0.008114328540535806,4
Umetani,ampicillin,assumed_0.1pct,NLLS,1.2002693789159375,1.2348429673553896,0.25462453011585884,10,1.2002693789159375,1.2348429673553896,0.25462453011585884,10,-4.641644691134193,-4.716990276197687,0.31155706033573294,10,1.0001853043138434e-08,5.225038418412262e-05,0.00016518560293260978,10,1.3938735147823254,1.405179766610799,0.055698792668531436,10,0.0,0.0,0.0,10
Umetani,ampicillin,assumed_0.1pct,NN,1.0710614043375002,1.1068401140598119,0.18843679383774042,10,,,,0,,,,0,,,,0,,,,0,,,,0
Umetani,ampicillin,assumed_0.1pct,PINN,1.405784711029765,1.3490182067115104,0.333936971621704,10,1.4059698618089427,1.3493680395978447,0.3329705519816825,10,-5.14818742526073,-5.265075441456619,0.7115722469086553,10,6.496595336214422e-05,6.72177132412752e-05,7.060344952962454e-05,10,1.3735476811598115,1.370925690530107,0.08973652853493189,10,0.0076958116247156216,0.009281952624386861,0.006462585979811834,10
Umetani,ampicillin,classification_anchor,NLLS,1.114603888754376,1.183749079601066,0.26501382055483774,10,1.114603888754376,1.183749079601066,0.26501382055483774,10,-4.293745014649666,-4.416132886897648,0.4122857628724134,10,0.0004336937837111455,0.0008481552689732208,0.0012457110323031136,10,1.0446583866744334,1.0056038035681003,0.2183163594504119,10,0.0,0.0,0.0,10
Umetani,ampicillin,classification_anchor,NN,0.951061685814865,0.9359763660868881,0.1270951873010747,10,,,,0,,,,0,,,,0,,,,0,,,,0
Umetani,ampicillin,classification_anchor,PINN,0.9467463078492739,0.9299746926030161,0.11871701001191175,10,0.9475427691662959,0.9310064682186958,0.11927605257977676,10,-4.053905829859296,-4.047864540575017,0.0604071131691369,10,1.2102747733941501e-05,1.3889308260358954e-05,1.0361576841017914e-05,10,0.649573328001037,0.6528719790727401,0.024573858762225776,10,0.005422863486166973,0.005580051506845072,0.0012395006515136231,10
Umetani,ciprofloxacin,assumed_0.1pct,NLLS,0.8415853612877334,0.7802767309705865,0.15184828499646985,10,0.8415853612877334,0.7802767309705865,0.15184828499646985,10,-4.602359875539725,-4.599464298386202,0.10645195152653679,10,1.0000000187899033e-08,2.423728040417352e-06,5.088585088773351e-06,10,0.5441537915097032,0.5484369880592224,0.02994125802708081,10,0.0,0.0,0.0,10
Umetani,ciprofloxacin,assumed_0.1pct,NN,0.745576056041444,0.7610077797443758,0.14283531396366209,10,,,,0,,,,0,,,,0,,,,0,,,,0
Umetani,ciprofloxacin,assumed_0.1pct,PINN,0.7812624543246791,0.9070385064959972,0.3645062694575483,10,0.7813452142912125,0.9129729535564959,0.37231948370903667,10,-4.656571528004104,-5.018872856410466,0.8358176221285628,10,8.765676343378107e-05,7.305130831083802e-05,5.189050333395594e-05,10,0.5533325369830947,0.5651794847378873,0.06716500793010588,10,0.00909295715193181,0.01646764017108917,0.018948545639723178,10
Umetani,ciprofloxacin,classification_anchor,NLLS,0.968882407661257,0.8501941896506604,0.18924130936881026,10,0.968882407661257,0.8501941896506604,0.18924130936881026,10,-4.488828108546118,-4.460896731897988,0.1465724654394038,10,0.0011499869999249477,0.0016741091842721525,0.0009969959649175097,10,0.38315232718399994,0.4248876041787148,0.10297672026034851,10,0.0,0.0,0.0,10
Umetani,ciprofloxacin,classification_anchor,NN,0.8004214901136788,0.7726606270815387,0.15268466095707092,10,,,,0,,,,0,,,,0,,,,0,,,,0
Umetani,ciprofloxacin,classification_anchor,PINN,0.7882368716283432,0.7693289999205924,0.16459979483100143,10,0.789653476427211,0.7695323462300442,0.16475029851189704,10,-3.9891119874754475,-4.012682993052716,0.11748752462411548,10,9.506608874979258e-06,1.740787561276132e-05,2.257036275031182e-05,10,0.19900808538005582,0.1934582743910266,0.016559219612861675,10,0.005356396740857807,0.005150903111433613,0.002014619452717717,10
