dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,NLLS,-2.1810819134648227,0.04139278496341501,0.21316755237322554,1.378790806289266,1.378790806289266,1.3787908062892658,1.3787908062892658,,,0.0,0.0,,,,,,1.3787908062892658,0.9895424256161632,1.3787908062892658,0.9895424256161632
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,NN,,,,11.709816399937333,0.7807200173237577,11.709816399937333,,,,,0.0,,,,,,11.709816399937333,0.9111857466231718,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,0,100000,0;1;3;6;24,,15,0,PINN,-1.0169157181904285,2.0930015498025897e-06,0.0792045215443027,13.34007653976302,0.2724592039360739,13.34007653976302,13.423881576715626,,,0.007384098385979953,0.0,0.0,0.0,0.002801006138469664,0.0013806268661668054,100000000.0,13.34007653976302,0.898820878363632,13.423881576715626,0.8981852508241428
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,1,100001,0;3;6;24,1,12,3,NLLS,-6.1013933277684815,0.13907104831848482,0.2158490977711191,1.2902827247884823,1.2902827247884823,1.2902827247884823,1.2902827247884823,1.7866458167121724,1.7866458167121724,0.0,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,1,100001,0;3;6;24,1,12,3,NN,,,,10.373595457112575,0.8644665714058499,10.373595457112575,,1.0435354252305478,,,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,1,100001,0;3;6;24,1,12,3,PINN,-0.9931728236882051,2.51286503330302e-06,0.07971795104277551,10.268052416508235,0.2587554138271968,10.268052416508235,10.307130256428907,1.0339586670030991,1.0365990619432144,0.00318133171662554,0.0,0.0,0.0,0.0017076138086022346,0.000800516097107627,100001000.0,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,2,100002,0;1;6;24,3,12,3,NLLS,-2.144000617684381,0.052049831763892364,0.225951535195219,1.0963431733713411,1.0963431733713411,1.0963431733713414,1.0963431733713414,0.4108022777814188,0.4108022777814188,0.0,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,2,100002,0;1;6;24,3,12,3,NN,,,,5.375804352834325,0.4479837401660271,5.375804352834325,,1.9048543576909966,,,0.0,,,,,,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,2,100002,0;1;6;24,3,12,3,PINN,-0.8545401048832749,2.064459465094728e-06,0.08212241939787716,5.357631995180002,0.13511711799411297,5.357631995180002,5.363825858990198,1.899734846266778,1.9035354113696363,0.002165419204149958,0.0,0.0,1.0,0.0011742516608727995,0.0008060850488601265,100002001.0,,,,
Peyrusson,peyrusson_extracellular_oxacillin,assumed_0.1pct,0.001,3,100003,0;1;3;24,6,12,3,NLLS,-2.0971500803881677,0.029956177698140216,0.20187714001767018,0.21597730817029662,0.21597730817029662,0.21597730817029664,0.21597730817029664,0.6840605152013116,0.6840605152013116,0.0,0.0,,,,,,,,,
