condition,configuration,cluster_counts,probability,D,alpha,beta,weighted_sse,converged,alpha_at_lower_bound,beta_at_lower_bound,any_upper_bound
peyrusson_extracellular_oxacillin,1,0;0;3,0.037037037037037035,-2.269377003368923,0.07147528848233854,0.23419126750385896,1.2528523307960662,True,False,False,False
peyrusson_extracellular_oxacillin,2,0;1;2,0.11111111111111119,-2.239329709883109,0.06113309794174258,0.22466811981887783,1.0093166053814917,True,False,False,False
peyrusson_extracellular_oxacillin,3,0;2;1,0.11111111111111119,-2.20694314607548,0.05203006856059103,0.21516803456236705,0.6286352357940226,True,False,False,False
peyrusson_extracellular_oxacillin,4,0;3;0,0.037037037037037035,-2.1696527854340895,0.04391602388500608,0.20558298628164334,0.1068136672584299,True,False,False,False
peyrusson_extracellular_oxacillin,5,1;0;2,0.11111111111111119,-2.2154612289497186,0.048959498271929844,0.22270924956615173,1.9168101529494503,True,False,False,False
peyrusson_extracellular_oxacillin,6,1;1;1,0.2222222222222223,-2.181085396582387,0.04139300895552486,0.2131677803793226,1.378790818337885,True,False,False,False
peyrusson_extracellular_oxacillin,7,1;2;0,0.11111111111111119,-2.138736992909366,0.03453541813870262,0.20338499751980274,0.6939207776777374,True,False,False,False
peyrusson_extracellular_oxacillin,8,2;0;1,0.11111111111111119,-2.1551885029033104,0.03267136405168386,0.21105360595742362,1.5173510630728826,True,False,False,False
peyrusson_extracellular_oxacillin,9,2;1;0,0.11111111111111119,-2.1046808879581858,0.026763654783380015,0.20085630342924368,0.6618581666240829,True,False,False,False
peyrusson_extracellular_oxacillin,10,3;0;0,0.037037037037037035,-2.065586242301129,0.02027649464732938,0.19773380438721203,0.0016194806682859279,True,False,False,False
