condition,scenario,initial_allocation,k,time_h,log_relative_abundance
ciprofloxacin,0.1%,stage1,1,0.0,0.0
ciprofloxacin,0.1%,stage1,1,0.025,-0.1130157892187955
ciprofloxacin,0.1%,stage1,1,0.05,-0.22601914633879974
ciprofloxacin,0.1%,stage1,1,0.07500000000000001,-0.3390087739106912
ciprofloxacin,0.1%,stage1,1,0.1,-0.45198323949699715
ciprofloxacin,0.1%,stage1,1,0.125,-0.5649409617195051
ciprofloxacin,0.1%,stage1,1,0.15000000000000002,-0.6778801948846833
ciprofloxacin,0.1%,stage1,1,0.17500000000000002,-0.7907990120466305
ciprofloxacin,0.1%,stage1,1,0.2,-0.9036952863541817
ciprofloxacin,0.1%,stage1,1,0.225,-1.0165666705149492
ciprofloxacin,0.1%,stage1,1,0.25,-1.129410574194246
ciprofloxacin,0.1%,stage1,1,0.275,-1.2422241391510271
ciprofloxacin,0.1%,stage1,1,0.30000000000000004,-1.3550042118962256
ciprofloxacin,0.1%,stage1,1,0.325,-1.4677473136411467
ciprofloxacin,0.1%,stage1,1,0.35000000000000003,-1.5804496072850898
ciprofloxacin,0.1%,stage1,1,0.375,-1.6931068611720703
ciprofloxacin,0.1%,stage1,1,0.4,-1.8057144093267887
ciprofloxacin,0.1%,stage1,1,0.42500000000000004,-1.9182671078598328
ciprofloxacin,0.1%,stage1,1,0.45,-2.030759287212086
ciprofloxacin,0.1%,stage1,1,0.47500000000000003,-2.143184699888666
ciprofloxacin,0.1%,stage1,1,0.5,-2.2555364633141886
ciprofloxacin,0.1%,stage1,1,0.525,-2.367806997424075
ciprofloxacin,0.1%,stage1,1,0.55,-2.4799879565926086
ciprofloxacin,0.1%,stage1,1,0.5750000000000001,-2.5920701554875003
ciprofloxacin,0.1%,stage1,1,0.6000000000000001,-2.7040434884353863
ciprofloxacin,0.1%,stage1,1,0.625,-2.81589684188367
ciprofloxacin,0.1%,stage1,1,0.65,-2.9276179995538367
ciprofloxacin,0.1%,stage1,1,0.675,-3.0391935399022207
ciprofloxacin,0.1%,stage1,1,0.7000000000000001,-3.150608725538843
ciprofloxacin,0.1%,stage1,1,0.7250000000000001,-3.261847384306643
ciprofloxacin,0.1%,stage1,1,0.75,-3.372891781796319
ciprofloxacin,0.1%,stage1,1,0.775,-3.483722485170266
ciprofloxacin,0.1%,stage1,1,0.8,-3.5943182182975333
ciprofloxacin,0.1%,stage1,1,0.8250000000000001,-3.7046557083667815
ciprofloxacin,0.1%,stage1,1,0.8500000000000001,-3.8147095243507674
ciprofloxacin,0.1%,stage1,1,0.875,-3.9244519079518487
ciprofloxacin,0.1%,stage1,1,0.9,-4.033852597968891
ciprofloxacin,0.1%,stage1,1,0.925,-4.142878649400137
ciprofloxacin,0.1%,stage1,1,0.9500000000000001,-4.251494249039571
ciprofloxacin,0.1%,stage1,1,0.9750000000000001,-4.359660529836184
ciprofloxacin,0.1%,stage1,1,1.0,-4.467335386897396
ciprofloxacin,0.1%,stage1,1,1.0250000000000001,-4.5744732986661445
ciprofloxacin,0.1%,stage1,1,1.05,-4.6810251575799136
ciprofloxacin,0.1%,stage1,1,1.075,-4.7869381153268735
ciprofloxacin,0.1%,stage1,1,1.1,-4.892155448697272
ciprofloxacin,0.1%,stage1,1,1.125,-4.996616452938355
ciprofloxacin,0.1%,stage1,1,1.1500000000000001,-5.100256370432243
ciprofloxacin,0.1%,stage1,1,1.175,-5.203006363382539
ciprofloxacin,0.1%,stage1,1,1.2000000000000002,-5.304793539959047
ciprofloxacin,0.1%,stage1,1,1.225,-5.405541043938544
ciprofloxacin,0.1%,stage1,1,1.25,-5.505168218207558
ciprofloxacin,0.1%,stage1,1,1.2750000000000001,-5.6035908524627915
ciprofloxacin,0.1%,stage1,1,1.3,-5.70072152495145
ciprofloxacin,0.1%,stage1,1,1.3250000000000002,-5.796470047030331
ciprofloxacin,0.1%,stage1,1,1.35,-5.890744017591071
ciprofloxacin,0.1%,stage1,1,1.375,-5.983449491920192
ciprofloxacin,0.1%,stage1,1,1.4000000000000001,-6.074491766292931
ciprofloxacin,0.1%,stage1,1,1.425,-6.163776275543509
ciprofloxacin,0.1%,stage1,1,1.4500000000000002,-6.251209596083429
ciprofloxacin,0.1%,stage1,1,1.475,-6.336700541501807
ciprofloxacin,0.1%,stage1,1,1.5,-6.4201613322113955
ciprofloxacin,0.1%,stage1,1,1.5250000000000001,-6.501508814919584
ciprofloxacin,0.1%,stage1,1,1.55,-6.580665702396234
ciprofloxacin,0.1%,stage1,1,1.5750000000000002,-6.6575617995158165
ciprofloxacin,0.1%,stage1,1,1.6,-6.732135178320382
ciprofloxacin,0.1%,stage1,1,1.625,-6.804333263294237
ciprofloxacin,0.1%,stage1,1,1.6500000000000001,-6.874113788484024
ciprofloxacin,0.1%,stage1,1,1.675,-6.9414455907295585
ciprofloxacin,0.1%,stage1,1,1.7000000000000002,-7.006309208099941
ciprofloxacin,0.1%,stage1,1,1.725,-7.068697259472237
ciprofloxacin,0.1%,stage1,1,1.75,-7.128614589665525
ciprofloxacin,0.1%,stage1,1,1.7750000000000001,-7.186078174105099
ciprofloxacin,0.1%,stage1,1,1.8,-7.241116786978365
ciprofloxacin,0.1%,stage1,1,1.8250000000000002,-7.293770446552262
ciprofloxacin,0.1%,stage1,1,1.85,-7.344089660072016
ciprofloxacin,0.1%,stage1,1,1.875,-7.392134497880781
ciprofloxacin,0.1%,stage1,1,1.9000000000000001,-7.437973531669935
ciprofloxacin,0.1%,stage1,1,1.925,-7.481682674859129
ciprofloxacin,0.1%,stage1,1,1.9500000000000002,-7.523343964004956
ciprofloxacin,0.1%,stage1,1,1.975,-7.563044318954074
ciprofloxacin,0.1%,stage1,1,2.0,-7.60087431656111
ciprofloxacin,0.1%,stage1,1,2.025,-7.636927008512348
ciprofloxacin,0.1%,stage1,1,2.0500000000000003,-7.671296808624137
ciprofloxacin,0.1%,stage1,1,2.075,-7.7040784693441475
ciprofloxacin,0.1%,stage1,1,2.1,-7.735366161481771
ciprofloxacin,0.1%,stage1,1,2.125,-7.765252665764991
ciprofloxacin,0.1%,stage1,1,2.15,-7.793828679917035
ciprofloxacin,0.1%,stage1,1,2.1750000000000003,-7.821182240733485
ciprofloxacin,0.1%,stage1,1,2.2,-7.847398257204578
ciprofloxacin,0.1%,stage1,1,2.225,-7.872558148086918
ciprofloxacin,0.1%,stage1,1,2.25,-7.8967395754473815
ciprofloxacin,0.1%,stage1,1,2.275,-7.920016264507668
ciprofloxacin,0.1%,stage1,1,2.3000000000000003,-7.942457899514623
ciprofloxacin,0.1%,stage1,1,2.325,-7.964130085243819
ciprofloxacin,0.1%,stage1,1,2.35,-7.985094364005786
ciprofloxacin,0.1%,stage1,1,2.375,-8.00540827856611
ciprofloxacin,0.1%,stage1,1,2.4000000000000004,-8.025125472124397
ciprofloxacin,0.1%,stage1,1,2.4250000000000003,-8.044295817347232
ciprofloxacin,0.1%,stage1,1,2.45,-8.062965567356226
ciprofloxacin,0.1%,stage1,1,2.475,-8.081177522486295
ciprofloxacin,0.1%,stage1,1,2.5,-8.09897120751621
ciprofloxacin,0.1%,stage1,1,2.5250000000000004,-8.11638305490877
ciprofloxacin,0.1%,stage1,1,2.5500000000000003,-8.133446590365715
ciprofloxacin,0.1%,stage1,1,2.575,-8.150192617694074
ciprofloxacin,0.1%,stage1,1,2.6,-8.166649400592704
ciprofloxacin,0.1%,stage1,1,2.625,-8.182842839500879
ciprofloxacin,0.1%,stage1,1,2.6500000000000004,-8.198796642108546
ciprofloxacin,0.1%,stage1,1,2.6750000000000003,-8.214532486515347
ciprofloxacin,0.1%,stage1,1,2.7,-8.230070176349235
ciprofloxacin,0.1%,stage1,1,2.725,-8.245427787422095
ciprofloxacin,0.1%,stage1,1,2.75,-8.260621805716287
ciprofloxacin,0.1%,stage1,1,2.7750000000000004,-8.275667256668962
ciprofloxacin,0.1%,stage1,1,2.8000000000000003,-8.290577825856653
ciprofloxacin,0.1%,stage1,1,2.825,-8.305365971286847
ciprofloxacin,0.1%,stage1,1,2.85,-8.32004302758084
ciprofloxacin,0.1%,stage1,1,2.875,-8.334619302388083
ciprofloxacin,0.1%,stage1,1,2.9000000000000004,-8.349104165410104
ciprofloxacin,0.1%,stage1,1,2.9250000000000003,-8.363506130435512
ciprofloxacin,0.1%,stage1,1,2.95,-8.377832930799435
ciprofloxacin,0.1%,stage1,1,2.975,-8.39209158868341
ciprofloxacin,0.1%,stage1,1,3.0,-8.406288478667461
ciprofloxacin,0.1%,stage1,1,3.0250000000000004,-8.42042938593639
ciprofloxacin,0.1%,stage1,1,3.0500000000000003,-8.43451955952862
ciprofloxacin,0.1%,stage1,1,3.075,-8.448563760999555
ciprofloxacin,0.1%,stage1,1,3.1,-8.46256630885308
ciprofloxacin,0.1%,stage1,1,3.125,-8.476531119075384
ciprofloxacin,0.1%,stage1,1,3.1500000000000004,-8.49046174208524
ciprofloxacin,0.1%,stage1,1,3.1750000000000003,-8.50436139639483
ciprofloxacin,0.1%,stage1,1,3.2,-8.518232999255261
ciprofloxacin,0.1%,stage1,1,3.225,-8.53207919454158
ciprofloxacin,0.1%,stage1,1,3.25,-8.545902378113398
ciprofloxacin,0.1%,stage1,1,3.2750000000000004,-8.559704720869323
ciprofloxacin,0.1%,stage1,1,3.3000000000000003,-8.573488189696539
ciprofloxacin,0.1%,stage1,1,3.325,-8.587254566500704
ciprofloxacin,0.1%,stage1,1,3.35,-8.601005465486468
ciprofloxacin,0.1%,stage1,1,3.375,-8.614742348844711
ciprofloxacin,0.1%,stage1,1,3.4000000000000004,-8.628466540989647
ciprofloxacin,0.1%,stage1,1,3.4250000000000003,-8.642179241476663
ciprofloxacin,0.1%,stage1,1,3.45,-8.655881536720623
ciprofloxacin,0.1%,stage1,1,3.475,-8.669574410623888
ciprofloxacin,0.1%,stage1,1,3.5,-8.68325875421379
ciprofloxacin,0.1%,stage1,1,3.5250000000000004,-8.696935374380466
ciprofloxacin,0.1%,stage1,1,3.5500000000000003,-8.710605001797854
ciprofloxacin,0.1%,stage1,1,3.575,-8.7242682981033
ciprofloxacin,0.1%,stage1,1,3.6,-8.737925862404357
ciprofloxacin,0.1%,stage1,1,3.625,-8.751578237175188
ciprofloxacin,0.1%,stage1,1,3.6500000000000004,-8.765225913599357
ciprofloxacin,0.1%,stage1,1,3.6750000000000003,-8.77886933641048
ciprofloxacin,0.1%,stage1,1,3.7,-8.792508908277663
ciprofloxacin,0.1%,stage1,1,3.725,-8.806144993778174
ciprofloxacin,0.1%,stage1,1,3.75,-8.819777922996021
ciprofloxacin,0.1%,stage1,1,3.7750000000000004,-8.833407994781437
ciprofloxacin,0.1%,stage1,1,3.8000000000000003,-8.847035479703058
ciprofloxacin,0.1%,stage1,1,3.825,-8.860660622721682
ciprofloxacin,0.1%,stage1,1,3.85,-8.874283645611714
ciprofloxacin,0.1%,stage1,1,3.875,-8.887904749154043
ciprofloxacin,0.1%,stage1,1,3.9000000000000004,-8.901524115121846
ciprofloxacin,0.1%,stage1,1,3.9250000000000003,-8.915141908078827
ciprofloxacin,0.1%,stage1,1,3.95,-8.928758277007534
ciprofloxacin,0.1%,stage1,1,3.975,-8.942373356783811
ciprofloxacin,0.1%,stage1,1,4.0,-8.95598726951184
ciprofloxacin,0.1%,stage1,1,4.025,-8.969600125732983
ciprofloxacin,0.1%,stage1,1,4.05,-8.983212025520283
ciprofloxacin,0.1%,stage1,1,4.075,-8.996823059469461
ciprofloxacin,0.1%,stage1,1,4.1000000000000005,-9.010433309596152
ciprofloxacin,0.1%,stage1,1,4.125,-9.024042850148257
ciprofloxacin,0.1%,stage1,1,4.15,-9.037651748341434
ciprofloxacin,0.1%,stage1,1,4.175,-9.051260065024962
ciprofloxacin,0.1%,stage1,1,4.2,-9.064867855284623
ciprofloxacin,0.1%,stage1,1,4.2250000000000005,-9.078475168988483
ciprofloxacin,0.1%,stage1,1,4.25,-9.09208205128102
ciprofloxacin,0.1%,stage1,1,4.275,-9.105688543030485
ciprofloxacin,0.1%,stage1,1,4.3,-9.11929468123389
ciprofloxacin,0.1%,stage1,1,4.325,-9.132900499383672
ciprofloxacin,0.1%,stage1,1,4.3500000000000005,-9.146506027799614
ciprofloxacin,0.1%,stage1,1,4.375,-9.160111293929349
ciprofloxacin,0.1%,stage1,1,4.4,-9.173716322620423
ciprofloxacin,0.1%,stage1,1,4.425,-9.187321136366554
ciprofloxacin,0.1%,stage1,1,4.45,-9.200925755530614
ciprofloxacin,0.1%,stage1,1,4.4750000000000005,-9.214530198546457
ciprofloxacin,0.1%,stage1,1,4.5,-9.22813448210165
ciprofloxacin,0.1%,stage1,1,4.525,-9.241738621302892
ciprofloxacin,0.1%,stage1,1,4.55,-9.255342629825773
ciprofloxacin,0.1%,stage1,1,4.575,-9.268946520050335
ciprofloxacin,0.1%,stage1,1,4.6000000000000005,-9.2825503031838
ciprofloxacin,0.1%,stage1,1,4.625,-9.296153989371668
ciprofloxacin,0.1%,stage1,1,4.65,-9.309757587798309
ciprofloxacin,0.1%,stage1,1,4.675,-9.323361106778002
ciprofloxacin,0.1%,stage1,1,4.7,-9.336964553837356
ciprofloxacin,0.1%,stage1,1,4.7250000000000005,-9.350567935789947
ciprofloxacin,0.1%,stage1,1,4.75,-9.364171258803848
ciprofloxacin,0.1%,stage1,1,4.775,-9.377774528462796
ciprofloxacin,0.1%,stage1,1,4.800000000000001,-9.391377749821531
ciprofloxacin,0.1%,stage1,1,4.825,-9.40498092745593
ciprofloxacin,0.1%,stage1,1,4.8500000000000005,-9.41858406550836
ciprofloxacin,0.1%,stage1,1,4.875,-9.432187167728749
ciprofloxacin,0.1%,stage1,1,4.9,-9.445790237511764
ciprofloxacin,0.1%,stage1,1,4.925000000000001,-9.459393277930474
ciprofloxacin,0.1%,stage1,1,4.95,-9.472996291766808
ciprofloxacin,0.1%,stage1,1,4.9750000000000005,-9.48659928153914
ciprofloxacin,0.1%,stage1,1,5.0,-9.500202249527264
ciprofloxacin,0.1%,stage1,1,5.025,-9.513805197794984
ciprofloxacin,0.1%,stage1,1,5.050000000000001,-9.52740812821058
ciprofloxacin,0.1%,stage1,1,5.075,-9.541011042465342
ciprofloxacin,0.1%,stage1,1,5.1000000000000005,-9.55461394209033
ciprofloxacin,0.1%,stage1,1,5.125,-9.568216828471547
ciprofloxacin,0.1%,stage1,1,5.15,-9.581819702863694
ciprofloxacin,0.1%,stage1,1,5.175000000000001,-9.595422566402595
ciprofloxacin,0.1%,stage1,1,5.2,-9.609025420116481
ciprofloxacin,0.1%,stage1,1,5.2250000000000005,-9.622628264936159
ciprofloxacin,0.1%,stage1,1,5.25,-9.636231101704254
ciprofloxacin,0.1%,stage1,1,5.275,-9.649833931183569
ciprofloxacin,0.1%,stage1,1,5.300000000000001,-9.66343675406463
ciprofloxacin,0.1%,stage1,1,5.325,-9.67703957097255
ciprofloxacin,0.1%,stage1,1,5.3500000000000005,-9.690642382473218
ciprofloxacin,0.1%,stage1,1,5.375,-9.704245189078913
ciprofloxacin,0.1%,stage1,1,5.4,-9.717847991253375
ciprofloxacin,0.1%,stage1,1,5.425000000000001,-9.731450789416417
ciprofloxacin,0.1%,stage1,1,5.45,-9.745053583948078
ciprofloxacin,0.1%,stage1,1,5.4750000000000005,-9.75865637519239
ciprofloxacin,0.1%,stage1,1,5.5,-9.77225916346079
ciprofloxacin,0.1%,stage1,1,5.525,-9.785861949035217
ciprofloxacin,0.1%,stage1,1,5.550000000000001,-9.799464732170893
ciprofloxacin,0.1%,stage1,1,5.575,-9.813067513098861
ciprofloxacin,0.1%,stage1,1,5.6000000000000005,-9.826670292028282
ciprofloxacin,0.1%,stage1,1,5.625,-9.840273069148493
ciprofloxacin,0.1%,stage1,1,5.65,-9.853875844630895
ciprofloxacin,0.1%,stage1,1,5.675000000000001,-9.867478618630658
ciprofloxacin,0.1%,stage1,1,5.7,-9.88108139128824
ciprofloxacin,0.1%,stage1,1,5.7250000000000005,-9.8946841627308
ciprofloxacin,0.1%,stage1,1,5.75,-9.908286933073448
