condition,scenario,initial_allocation,k,D,alpha,beta,sse,aicc,delta_aicc,loto_rmse
ciprofloxacin,0.1%,stage1,1,-4.525389547949639,1.0000000000000018e-08,0.5441103946722876,14.151401370371747,-24.32306758918537,0.0,0.7265610120073338
ciprofloxacin,0.1%,stage1,2,-4.675069731256894,1.0000000000000018e-08,0.4341074039460832,17.572658287707863,-16.5279684457957,7.79509914338967,0.8475529211260385
ciprofloxacin,0.1%,stage1,3,-4.747572254125602,1.0000000000000018e-08,0.3826865304382966,21.359375386393406,-9.502691431416912,14.82037615776846,0.9611212690026476
ciprofloxacin,0.1%,stage1,4,-4.785975613064673,1.0000000000000018e-08,0.35118781537892985,25.019136617692133,-3.8092833205157612,20.51378426866961,1.0587400488873837
ciprofloxacin,0.1%,equal,1,-4.525389526674578,1.0000000000000018e-08,0.544110395452489,14.151401370371747,-24.32306758918537,0.0,0.7265610122706199
ciprofloxacin,0.1%,equal,2,-4.586411812642216,1.0000000000000018e-08,0.3741256459923913,15.459498451892166,-21.140309568848586,3.1827580203367845,0.7770846036406415
ciprofloxacin,0.1%,equal,3,-4.623544591569932,1.0000000000000267e-08,0.31372312950155373,16.776529469189406,-18.19704845214075,6.126019137044622,0.8246908300365082
ciprofloxacin,0.1%,equal,4,-4.647962142388459,1.0000000000000195e-08,0.2816820084800293,18.022948120778924,-15.617108909571003,8.705958679614367,0.8675695882457541
ciprofloxacin,anchor,stage1,1,-4.342941822327152,0.0014713280517674083,0.41994074932697195,13.462223668117577,-26.12040861961269,0.0,0.7656949850874253
ciprofloxacin,anchor,stage1,2,-4.284507249498638,0.0005683645539383756,0.28709304626817556,13.949695284858347,-24.839883276393714,1.2805253432189758,0.7912246854332678
ciprofloxacin,anchor,stage1,3,-4.2418491870084996,0.0002724394883151734,0.24175604816394977,14.349354073385422,-23.82298176391805,2.2974268556946384,0.8103895398040865
ciprofloxacin,anchor,stage1,4,-4.209282005478712,0.00012595590119963355,0.21860238404784565,14.688930349087046,-22.980968989005625,3.1394396306070647,0.82310986884256
ciprofloxacin,anchor,equal,1,-4.342941805515585,0.0014713279994330595,0.4199407450416118,13.46222366811773,-26.120408619612284,0.0,0.7656950194350753
ciprofloxacin,anchor,equal,2,-4.286999306247925,0.0007196611480795155,0.2780496397903908,13.87032375913163,-25.045302451306377,1.0751061683059078,0.7885681923784106
ciprofloxacin,anchor,equal,3,-4.247743476170636,0.0004735702243738387,0.22820353855361952,14.165506737839417,-24.287202566853487,1.833206052758797,0.8077045669056475
ciprofloxacin,anchor,equal,4,-4.219200631641588,0.0003498648744507154,0.2017724058089517,14.381757076334292,-23.7417799896702,2.378628629942085,0.8222071436837212
ampicillin,0.1%,stage1,1,-4.538857199063189,1.0000000000000018e-08,1.4078721001109018,65.24502891486893,13.755590479216206,0.0,1.2522004042940487
ampicillin,0.1%,stage1,2,-4.786051311756109,1.0000000000000586e-08,0.9354289678452467,77.59368830760799,24.155764252288876,10.40017377307267,1.4079002517354506
ampicillin,0.1%,stage1,3,-4.9910526026155155,1.0000000000000018e-08,0.7547584891415496,91.54446126645863,34.076085178538726,20.32049469932252,1.5421301742072917
ampicillin,0.1%,stage1,4,-5.153652377113295,1.0000000000000018e-08,0.6554020943316755,106.37751021558407,43.086250058633055,29.33065957941685,1.6858122867311054
ampicillin,0.1%,equal,1,-4.538857246620515,1.0000000000000018e-08,1.4078720967598373,65.2450289148689,13.755590479216181,0.0,1.2522004215531786
ampicillin,0.1%,equal,2,-4.658176445362984,1.0000000000000018e-08,0.8689961937645813,71.91715503924395,19.59748891902081,5.8418984398046305,1.3469486344867243
ampicillin,0.1%,equal,3,-4.756358986919565,1.0000000000000018e-08,0.680619288797042,79.1620557448801,25.35642438721569,11.600833907999508,1.427778350930748
ampicillin,0.1%,equal,4,-4.836668056095705,1.0000000000000018e-08,0.5821488670490724,86.70220626253132,30.81535882699135,17.05976834777517,1.5034625604165568
ampicillin,anchor,stage1,1,-4.174062296732248,0.0001675579767995122,0.8759958117052995,58.35633097503392,7.060670164793506,0.0,1.2070250891288317
ampicillin,anchor,stage1,2,-4.137267058775434,1.9106295924071898e-05,0.5051154735072109,58.930341331120076,7.64796445264504,0.5872942878515337,1.1865547276299468
ampicillin,anchor,stage1,3,-4.147695082129186,1.0000000000000018e-08,0.41114996810450005,59.45720891630413,8.182011550459233,1.121341385665727,1.1692247977995147
ampicillin,anchor,stage1,4,-4.176797633585019,1.0000000000000018e-08,0.3762800314336309,60.35352054595986,9.079755873015616,2.01908570822211,1.1636455981504388
ampicillin,anchor,equal,1,-4.17405902266881,0.00016755287842999333,0.8759915814963275,58.35633097503423,7.0606701647938275,0.0,1.2070247507778122
ampicillin,anchor,equal,2,-4.135290020141035,3.5444931543183745e-05,0.49573840086657556,58.87001799521421,7.58651471698348,0.5258445521896524,1.1968353757179577
ampicillin,anchor,equal,3,-4.10388058133442,3.281249073162141e-06,0.35388792033427297,59.15571703152442,7.8769933258426645,0.8163231610488371,1.185185331658522
ampicillin,anchor,equal,4,-4.110265858070121,1.000000000000009e-08,0.30711501968789723,59.34443387741515,8.06809891075679,1.0074287459629625,1.1743121704251422
