condition,k,n,lambda,beta_mean_rate,log_likelihood,aicc,delta_aicc
ciprofloxacin,1,18,0.09523809523809525,0.09523809523809525,-60.3247546289426,122.8995092578852,17.58622561992925
ciprofloxacin,2,18,0.1904761904761905,0.09523809523809525,-55.084288719494914,112.41857743898983,7.105293801033881
ciprofloxacin,3,18,0.28571428571428575,0.09523809523809525,-52.90200547236438,108.05401094472876,2.7407273067728113
ciprofloxacin,4,18,0.380952380952381,0.09523809523809525,-51.9017288465465,106.053457693093,0.7401740551370466
ciprofloxacin,5,18,0.4761904761904763,0.09523809523809526,-51.531641818977974,105.31328363795595,0.0
ciprofloxacin,6,18,0.5714285714285715,0.09523809523809525,-51.55374627594121,105.35749255188242,0.044208913926468085
ampicillin,1,6,0.25806451612903225,0.25806451612903225,-14.127273976831862,31.254547953663725,0.0
ampicillin,2,6,0.5161290322580645,0.25806451612903225,-16.709176415681185,36.41835283136237,5.163804877698645
ampicillin,3,6,0.7741935483870968,0.25806451612903225,-20.310473075302895,43.62094615060579,12.366398196942065
ampicillin,4,6,1.032258064516129,0.25806451612903225,-24.30577194202882,51.61154388405764,20.356995930393914
ampicillin,5,6,1.2903225806451613,0.25806451612903225,-28.511134008171194,60.02226801634239,28.767720062678663
ampicillin,6,6,1.5483870967741935,0.25806451612903225,-32.84722656915749,68.69445313831498,37.43990518465126
