condition,trial,split_seed,initial_fraction,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,global_objective_before_polish,global_nfev,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_weight_seed_index
nordholt_h2o2,1,5101,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NLLS,-88.99529809084767,1.5104432003805917e-08,130.8851338635987,83.4500006058058,83.45000060764028,1620.0,0.9946389558292535,0.9946389558292535,0.0,0.0,,,,
nordholt_h2o2,1,5101,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NN,,,,7.513086598051727,,,0.3984828044482857,,,0.0,,,,
nordholt_h2o2,1,5101,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,PINN,-89.04500191332707,0.21025034610677681,298.99603850254175,0.8347916418984437,,,0.9949827318710124,0.994982795631739,1.1853410474496767e-06,0.0,3.0,6.140363788429783e-06,1.2867835683783714e-05,0.0
nordholt_h2o2,2,5102,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,NLLS,-94.73586865578484,1.0144296812161487e-08,140.49274546068898,78.90952823416761,78.90952823430976,1980.0,1.5167655630977124,1.5167655630977124,0.0,0.0,,,,
nordholt_h2o2,2,5102,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,NN,,,,3.597235669526593,,,2.0045257803357006,,,0.0,,,,
nordholt_h2o2,2,5102,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,PINN,-94.81213944073058,0.20387819019211234,298.62541144448574,0.7891993358462278,,,1.5167344940661083,1.51750008335752,0.0005044110162143822,0.0,3.0,0.018598683141160196,0.04194278097043111,2.0
nordholt_h2o2,3,5103,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,NLLS,-94.73586394989047,1.6518533171254283e-08,140.49662677411823,78.90952823905202,78.90952824441587,1800.0,1.5167654700331594,1.5167654700331594,0.0,0.0,,,,
nordholt_h2o2,3,5103,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,NN,,,,3.5984332130717434,,,2.0131930252050303,,,0.0,,,,
nordholt_h2o2,3,5103,0.001,0;0.00555555555556;0.0111111111111;0.0166666666667;0.0333333333333;0.0666666666667,0.05,30,5,PINN,-94.78799211437396,0.2051654587395152,299.6870560222198,0.7894269956798176,,,1.5164547310317171,1.516550714224823,6.484802815725577e-05,0.0,3.0,0.0012624314152951456,0.008133679640989898,0.0
nordholt_h2o2,4,5104,0.001,0;0.00555555555556;0.0166666666667;0.0333333333333;0.05;0.0666666666667,0.0111111111111,30,5,NLLS,-88.99530511479726,1.3541876224830286e-08,130.87943635534677,83.4500006044453,83.45000060618283,1935.0,0.9946390092638063,0.9946390092638063,0.0,0.0,,,,
