condition,source_file,source_sheet,source_row,replicate,time_min,time_h,raw_cells_ml,baseline_cells_ml,is_zero_count,relative_abundance,log_relative_abundance
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,2,1,0.0,0.0,922222222.222222,922222222.222222,False,1.0,0.0
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,2,2,0.0,0.0,1044444444.44445,1044444444.44445,False,1.0,0.0
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,2,3,0.0,0.0,1255555555.55556,1255555555.55556,False,1.0,0.0
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,2,4,0.0,0.0,1100000000.0,1100000000.0,False,1.0,0.0
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,2,5,0.0,0.0,1177777777.77778,1177777777.77778,False,1.0,0.0
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,3,1,0.333333333333333,0.00555555555555555,1200000000.0,922222222.222222,False,1.3012048192771088,0.2632906193276221
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,3,2,0.333333333333333,0.00555555555555555,1300000000.0,1044444444.44445,False,1.2446808510638232,0.21887915252774692
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,3,3,0.333333333333333,0.00555555555555555,1900000000.0,1255555555.55556,False,1.5132743362831804,0.4142757377903157
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,3,4,0.333333333333333,0.00555555555555555,900000000.0,1100000000.0,False,0.8181818181818182,-0.2006706954621511
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,3,5,0.333333333333333,0.00555555555555555,1500000000.0,1177777777.77778,False,1.273584905660375,0.24183568432636043
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,4,1,0.666666666666667,0.011111111111111117,1000000000.0,922222222.222222,False,1.0843373493975907,0.0809690625336675
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,4,2,0.666666666666667,0.011111111111111117,1300000000.0,1044444444.44445,False,1.2446808510638232,0.21887915252774692
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,4,3,0.666666666666667,0.011111111111111117,1300000000.0,1255555555.55556,False,1.0353982300884919,0.03478611608541196
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,4,4,0.666666666666667,0.011111111111111117,700000000.0,1100000000.0,False,0.6363636363636364,-0.45198512374305727
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,4,5,0.666666666666667,0.011111111111111117,1200000000.0,1177777777.77778,False,1.0188679245282999,0.018692133012150582
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,5,1,1.0,0.016666666666666666,1700000000.0,922222222.222222,False,1.843373493975904,0.6115973135958378
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,5,2,1.0,0.016666666666666666,1500000000.0,1044444444.44445,False,1.4361702127659497,0.36197999616842014
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,5,3,1.0,0.016666666666666666,1500000000.0,1255555555.55556,False,1.1946902654867213,0.17788695972608523
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,5,4,1.0,0.016666666666666666,1500000000.0,1100000000.0,False,1.3636363636363635,0.31015492830383945
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,5,5,1.0,0.016666666666666666,1200000000.0,1177777777.77778,False,1.0188679245282999,0.018692133012150582
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,6,1,2.0,0.03333333333333333,700000000.0,922222222.222222,False,0.7590361445783135,-0.27570588140506497
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,6,2,2.0,0.03333333333333333,600000000.0,1044444444.44445,False,0.5744680851063799,-0.5543107357057349
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,6,3,2.0,0.03333333333333333,600000000.0,1255555555.55556,False,0.4778761061946885,-0.7384037721480698
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,6,4,2.0,0.03333333333333333,230000000.0,1100000000.0,False,0.20909090909090908,-1.5649861498632667
nordholt_h2o2,spectrum.03276-22-s0002(04).xlsx,A_h2o2,6,5,2.0,0.03333333333333333,1000000000.0,1177777777.77778,False,0.8490566037735833,-0.163629423781804
