condition,parameter,fixed_value,profile_sse,likelihood_ratio_statistic
synthetic_moderate_trial_1,alpha,9.999999999999999e-06,11.28570450007261,237.99890690303593
synthetic_moderate_trial_1,alpha,1.4677992676220705e-05,11.118904969420123,236.50990427017464
synthetic_moderate_trial_1,alpha,2.1544346900318823e-05,10.878920483314431,234.32792489227393
synthetic_moderate_trial_1,alpha,3.1622776601683795e-05,10.536820497775139,231.13280697530766
synthetic_moderate_trial_1,alpha,4.641588833612782e-05,10.055688095840766,226.45906867858398
synthetic_moderate_trial_1,alpha,6.812920690579608e-05,9.392188726671648,219.6330589992169
synthetic_moderate_trial_1,alpha,0.0001,8.503069773521291,209.6879480824605
synthetic_moderate_trial_1,alpha,0.0001467799267622069,7.360814358611076,195.26228058715256
synthetic_moderate_trial_1,alpha,0.00021544346900318823,5.98355318227887,174.5466801848708
synthetic_moderate_trial_1,alpha,0.00031622776601683794,4.4796591025193155,145.59991830452083
synthetic_moderate_trial_1,alpha,0.00046415888336127773,2.9529343666332575,103.92516092197977
synthetic_moderate_trial_1,alpha,0.0006812920690579609,1.6512588572789606,45.799017352544325
synthetic_moderate_trial_1,alpha,0.001,1.0479594161492014,0.32970928017452733
synthetic_moderate_trial_1,alpha,0.001467799267622069,1.4261272097668207,31.14147581246734
synthetic_moderate_trial_1,alpha,0.002154434690031882,2.0564793879365,67.74477184540713
synthetic_moderate_trial_1,alpha,0.0031622776601683794,2.5196960393017522,88.05905076247353
synthetic_moderate_trial_1,alpha,0.004641588833612777,2.8420668498371033,100.09837842096391
synthetic_moderate_trial_1,alpha,0.006812920690579608,3.06670915595091,107.70572831934871
synthetic_moderate_trial_1,alpha,0.01,3.22216498863356,112.65057230455011
synthetic_moderate_trial_1,alpha,0.01467799267622069,153.58102237176297,499.0680493514394
synthetic_moderate_trial_1,alpha,0.021544346900318822,212.7837018734732,531.6728398295162
synthetic_moderate_trial_1,alpha,0.03162277660168379,284.3985006069114,560.6828658488791
synthetic_moderate_trial_1,alpha,0.046415888336127774,368.3930061445971,586.5602552495515
synthetic_moderate_trial_1,alpha,0.06812920690579607,463.73255691539913,609.5760232795021
synthetic_moderate_trial_1,alpha,0.1,567.9885354628053,629.8553467174295
synthetic_moderate_trial_1,beta,0.001,2.352244278931324,81.18221174343442
synthetic_moderate_trial_1,beta,0.0013990503141372943,2.338337456476909,80.58924208690294
synthetic_moderate_trial_1,beta,0.0019573417814876598,2.3190593734398055,79.76138936825507
synthetic_moderate_trial_1,beta,0.0027384196342643613,2.2924354323406715,78.60669927161564
synthetic_moderate_trial_1,beta,0.003831186849557289,2.255861324836066,76.99840949601274
synthetic_moderate_trial_1,beta,0.005360023165391796,2.2059970739064862,74.76318271066482
synthetic_moderate_trial_1,beta,0.007498942093324558,2.1387463586219404,71.66720763509915
synthetic_moderate_trial_1,beta,0.010491397291363102,2.049455405230521,67.40263345736041
synthetic_moderate_trial_1,beta,0.014677992676220698,1.9335746142617487,61.58226542787476
synthetic_moderate_trial_1,beta,0.02053525026457146,1.7881614457155797,53.764019940063655
synthetic_moderate_trial_1,beta,0.028729848333536655,1.6146651300609247,43.557981806840026
synthetic_moderate_trial_1,beta,0.04019450333615126,1.4231366104693433,30.931554893635248
synthetic_moderate_trial_1,beta,0.056234132519034905,1.2368845526958088,16.904799329685005
synthetic_moderate_trial_1,beta,0.07867438076599402,1.0945552276446817,4.680032865489678
synthetic_moderate_trial_1,beta,0.11006941712522103,1.045155107196822,0.06175350431808049
synthetic_moderate_trial_1,beta,0.1539926526059492,1.1337090110499244,8.194680106590607
synthetic_moderate_trial_1,beta,0.21544346900318845,1.3816983645670577,27.976567414275728
synthetic_moderate_trial_1,beta,0.3014162529877392,1.7720481782816346,52.85882731610061
synthetic_moderate_trial_1,beta,0.4216965034285822,2.2474003178581485,76.62263666265784
synthetic_moderate_trial_1,beta,0.5899746255923566,2.7234573744648074,95.8354399406842
synthetic_moderate_trial_1,beta,0.825404185268019,3.112777036043568,109.19674980952871
synthetic_moderate_trial_1,beta,1.1547819846894583,3.3536567200599445,116.65035414485195
synthetic_moderate_trial_1,beta,1.6155980984398746,3.4293460367866584,118.88218158721911
synthetic_moderate_trial_1,beta,2.2603030271419216,3.352265639164584,116.60886601418785
synthetic_moderate_trial_1,beta,3.1622776601683795,3.175789310879135,111.20084360012319
ciprofloxacin,alpha,1e-08,14.151400910926832,0.0
ciprofloxacin,alpha,2.1544346900318822e-08,14.151407640400127,1.7119222509933476e-05
ciprofloxacin,alpha,4.641588833612782e-08,14.151422139390382,5.400342477845652e-05
ciprofloxacin,alpha,1e-07,14.151453374511268,0.00013346279641495657
ciprofloxacin,alpha,2.1544346900318822e-07,14.151520671223333,0.00030465905518184443
