condition,source_file,source_sheet,source_row,replicate,time_h,raw_cells_ml,baseline_cells_ml,relative_abundance,log_relative_abundance
ciprofloxacin,Fig8S2.xlsx,Fig8S2,5,1,0.0,43773436.86769499,43773436.86769499,1.0,0.0
ciprofloxacin,Fig8S2.xlsx,Fig8S2,5,2,0.0,25015801.63579606,25015801.63579606,1.0,0.0
ciprofloxacin,Fig8S2.xlsx,Fig8S2,5,3,0.0,29698517.377867725,29698517.377867725,1.0,0.0
ciprofloxacin,Fig8S2.xlsx,Fig8S2,6,1,0.3333333333333333,3465735.9027997265,43773436.86769499,0.07917440691885577,-2.5361021773482837
ciprofloxacin,Fig8S2.xlsx,Fig8S2,6,2,0.3333333333333333,4377343.686769499,25015801.63579606,0.17498314667261322,-1.7430656144241454
ciprofloxacin,Fig8S2.xlsx,Fig8S2,6,3,0.3333333333333333,10130608.126733128,29698517.377867725,0.34111494516163215,-1.0755357759127597
ciprofloxacin,Fig8S2.xlsx,Fig8S2,7,1,0.6666666666666666,2165286.2821225845,43773436.86769499,0.04946575907820883,-3.0064745845608463
ciprofloxacin,Fig8S2.xlsx,Fig8S2,7,2,0.6666666666666666,624306.5325858386,25015801.63579606,0.024956487170592793,-3.6906214837431426
ciprofloxacin,Fig8S2.xlsx,Fig8S2,7,3,0.6666666666666666,794907.7715277086,29698517.377867725,0.026765907584332782,-3.620626306340031
ciprofloxacin,Fig8S2.xlsx,Fig8S2,8,1,1.0,202732.5540540822,43773436.86769499,0.004631405906436828,-5.374894805478545
ciprofloxacin,Fig8S2.xlsx,Fig8S2,8,2,1.0,437734.36867694993,25015801.63579606,0.01749831466726132,-4.045650707418191
ciprofloxacin,Fig8S2.xlsx,Fig8S2,8,3,1.0,622614.7090597787,29698517.377867725,0.020964504764260417,-3.8649245206627216
ciprofloxacin,Fig8S2.xlsx,Fig8S2,9,1,1.5,43773.43686769499,43773436.86769499,0.001,-6.907755278982137
ciprofloxacin,Fig8S2.xlsx,Fig8S2,9,2,1.5,43773.43686769499,25015801.63579606,0.001749831466726132,-6.348235800412237
ciprofloxacin,Fig8S2.xlsx,Fig8S2,9,3,1.5,113518.3991080994,29698517.377867725,0.0038223591320655256,-5.566887473144757
ciprofloxacin,Fig8S2.xlsx,Fig8S2,10,1,2.0,14384.103622589042,43773436.86769499,0.0003286034785448748,-8.020658766461949
ciprofloxacin,Fig8S2.xlsx,Fig8S2,10,2,2.0,25015.80163579606,25015801.63579606,0.001,-6.907755278982137
ciprofloxacin,Fig8S2.xlsx,Fig8S2,10,3,2.0,56208.46756651296,29698517.377867725,0.0018926354757494155,-6.269784989614049
ciprofloxacin,Fig8S2.xlsx,Fig8S2,11,1,2.5,7076.3815397231665,43773436.86769499,0.00016165926292494457,-8.730019753084134
ciprofloxacin,Fig8S2.xlsx,Fig8S2,11,2,2.5,7352.128081187471,25015801.63579606,0.0002938993596218413,-8.132273163439901
ciprofloxacin,Fig8S2.xlsx,Fig8S2,11,3,2.5,4350.568849481485,29698517.377867725,0.0001464911124729636,-8.82854579706095
ciprofloxacin,Fig8S2.xlsx,Fig8S2,12,1,3.0,6243.065325858385,43773436.86769499,0.00014262223331304832,-8.855311148301134
ciprofloxacin,Fig8S2.xlsx,Fig8S2,12,2,3.0,6931.471805599453,25015801.63579606,0.000277083737171986,-8.191190797200575
ciprofloxacin,Fig8S2.xlsx,Fig8S2,12,3,3.0,7949.077715277086,29698517.377867725,0.0002676590758433278,-8.225796492328122
ciprofloxacin,Fig8S2.xlsx,Fig8S2,13,1,4.0,3465.7359027997263,43773436.86769499,7.917440691885577e-05,-9.44385745633042
ciprofloxacin,Fig8S2.xlsx,Fig8S2,13,2,4.0,2027.325540540822,25015801.63579606,8.104179790264426e-05,-9.420545512896735
ciprofloxacin,Fig8S2.xlsx,Fig8S2,13,3,4.0,1438.4103622589043,29698517.377867725,4.8433743137994265e-05,-9.935313814880773
ciprofloxacin,Fig8S2.xlsx,Fig8S2,14,1,5.0,1438.4103622589043,43773436.86769499,3.2860347854487484e-05,-10.323243859455994
ciprofloxacin,Fig8S2.xlsx,Fig8S2,14,2,5.0,2694.9825036634347,25015801.63579606,0.00010773120697467804,-9.135871257420218
ciprofloxacin,Fig8S2.xlsx,Fig8S2,14,3,5.0,903.7095438109094,29698517.377867725,3.042944980426472e-05,-10.400099674919979
ciprofloxacin,Fig8S2.xlsx,Fig8S2,15,1,6.0,2027.325540540822,43773436.86769499,4.631405906436828e-05,-9.980064991466636
ciprofloxacin,Fig8S2.xlsx,Fig8S2,15,2,6.0,2027.325540540822,25015801.63579606,8.104179790264426e-05,-9.420545512896735
ciprofloxacin,Fig8S2.xlsx,Fig8S2,15,3,6.0,735.212808118747,29698517.377867725,2.4755875815762134e-05,-10.606447690428626
ciprofloxacin,Fig8S2.xlsx,Fig8S2,16,1,7.0,2027.325540540822,43773436.86769499,4.631405906436828e-05,-9.980064991466636
ciprofloxacin,Fig8S2.xlsx,Fig8S2,16,2,7.0,2501.5801635796056,25015801.63579606,9.999999999999999e-05,-9.210340371976184
ciprofloxacin,Fig8S2.xlsx,Fig8S2,16,3,7.0,794.9077715277086,29698517.377867725,2.676590758433278e-05,-10.528381585322167
ampicillin,Fig1S3.xlsx,Fig1S3A,5,1,0.0,20273255.40540822,20273255.40540822,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,5,2,0.0,6243065.325858388,6243065.325858388,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,5,3,0.0,19914849.805820115,19914849.805820115,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,5,4,0.0,4350568.849481482,4350568.849481482,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,5,5,0.0,9116077.839697745,9116077.839697745,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,5,6,0.0,4350568.849481485,4350568.849481485,1.0,0.0
ampicillin,Fig1S3.xlsx,Fig1S3A,6,1,0.3333333333333333,2221177.1994341235,20273255.40540822,0.1095619403503193,-2.21126522435417
ampicillin,Fig1S3.xlsx,Fig1S3A,6,2,0.3333333333333333,998513.9393558655,6243065.325858388,0.1599396910392853,-1.8329584658091242
ampicillin,Fig1S3.xlsx,Fig1S3A,6,4,0.3333333333333333,435056.8849481485,4350568.849481482,0.10000000000000007,-2.302585092994045
ampicillin,Fig1S3.xlsx,Fig1S3A,6,5,0.3333333333333333,903709.5438109096,9116077.839697745,0.09913359228631524,-2.31128692145899
ampicillin,Fig1S3.xlsx,Fig1S3A,6,6,0.3333333333333333,631697.7582649806,4350568.849481485,0.14519888780527365,-1.9296508363640716
ampicillin,Fig1S3.xlsx,Fig1S3A,7,1,0.6666666666666666,429898.3302360847,20273255.40540822,0.021205194806622047,-3.8535090892728796
ampicillin,Fig1S3.xlsx,Fig1S3A,7,2,0.6666666666666666,250158.0163579605,6243065.325858388,0.040069741913771356,-3.217133795238995
ampicillin,Fig1S3.xlsx,Fig1S3A,7,3,0.6666666666666666,69314.71805599454,19914849.805820115,0.0034805543969373704,-5.660563688419398
ampicillin,Fig1S3.xlsx,Fig1S3A,7,4,0.6666666666666666,137577.0668173974,4350568.849481482,0.03162277660168379,-3.4538776394910684
ampicillin,Fig1S3.xlsx,Fig1S3A,7,5,0.6666666666666666,72667.21698365927,9116077.839697745,0.00797132475846308,-4.8319045818668585
ampicillin,Fig1S3.xlsx,Fig1S3A,7,6,0.6666666666666666,69314.71805599453,4350568.849481485,0.015932334472595622,-4.139404620122396
ampicillin,Fig1S3.xlsx,Fig1S3A,8,1,1.0,269498.25036634324,20273255.40540822,0.013293289359658057,-4.320495930511575
ampicillin,Fig1S3.xlsx,Fig1S3A,8,2,1.0,49565.78485207243,6243065.325858388,0.007939334648121337,-4.835925804700123
ampicillin,Fig1S3.xlsx,Fig1S3A,8,3,1.0,34657.35902799726,19914849.805820115,0.001740277198468685,-6.353710868979343
ampicillin,Fig1S3.xlsx,Fig1S3A,8,4,1.0,105528.30786023405,4350568.849481482,0.02425620913293013,-3.7190826476542433
ampicillin,Fig1S3.xlsx,Fig1S3A,8,5,1.0,49565.78485207243,9116077.839697745,0.005437183153069242,-5.214494154965047
ampicillin,Fig1S3.xlsx,Fig1S3A,8,6,1.0,79900.47244864807,4350568.849481485,0.018365523041468674,-3.9972801197747256
ampicillin,Fig1S3.xlsx,Fig1S3A,9,1,1.5,26949.825036634345,20273255.40540822,0.0013293289359658067,-6.62308102350562
ampicillin,Fig1S3.xlsx,Fig1S3A,9,2,1.5,20273.255405408225,6243065.325858388,0.0032473239261869746,-5.729924029153594
ampicillin,Fig1S3.xlsx,Fig1S3A,9,3,1.5,13476.794378619672,19914849.805820115,0.0006767208645822214,-7.298251682362313
