condition,file,washout_frame,division_frame,interval_min,lag_h,censored
ciprofloxacin,240130_Results0065.xls,101,157,6.0,5.6,False
ciprofloxacin,240208_Results0083.xls,101,176,6.0,7.5,False
ciprofloxacin,240208_Results0117.xls,101,247,6.0,14.6,False
ciprofloxacin,240208_Results0127.xls,101,161,6.0,6.0,False
ciprofloxacin,240208_Results0140.xls,101,155,6.0,5.4,False
ciprofloxacin,240208_Results0143.xls,101,181,6.0,8.0,False
ciprofloxacin,240208_Results0146.xls,101,164,6.0,6.3,False
ciprofloxacin,240208_Results0148.xls,101,226,6.0,12.5,False
ciprofloxacin,240208_Results0157.xls,101,156,6.0,5.5,False
ciprofloxacin,240208_Results0160.xls,101,271,6.0,17.0,False
ciprofloxacin,240208_Results0161.xls,101,263,6.0,16.2,False
ciprofloxacin,240208_Results0168.xls,101,318,6.0,21.7,False
ciprofloxacin,240208_Results0172.xls,101,211,6.0,11.0,False
ciprofloxacin,240208_Results0178.xls,101,172,6.0,7.1,False
ciprofloxacin,240208_Results1143.xls,101,239,6.0,13.8,False
ciprofloxacin,240208_Results1148.xls,101,241,6.0,14.0,False
ciprofloxacin,240208_Results1157.xls,101,177,6.0,7.6,False
ciprofloxacin,240208_Results2161.xls,101,193,6.0,9.2,False
ampicillin,230921_Results0080.xls,151,294,3.0,7.15,False
ampicillin,230921_Results0096.xls,151,153,3.0,0.1,False
ampicillin,231006_Results0027.xls,151,170,3.0,0.95,False
ampicillin,231006_Results0065.xls,151,372,3.0,11.05,False
ampicillin,231020_Results0078.xls,151,207,3.0,2.8,False
ampicillin,231130_Results0131.xls,146,170,3.0,1.2,False
